rf_id,or_name,exec_dt,ack_dt
75970269,"VIGUE, KATHLEEN A.",1995-07-18,
76060941,"BRANTON, DANIEL",1995-06-12,
76060996,"DEAMER, DAVID W.",1995-06-09,
76250667,"CHURCH, GEORGE",1995-07-20,
76250667,"BALDARELLI, RICHARD",1995-07-20,
77110810,"OMNICELL TECHNOLOGIES, INC.",1995-08-02,
77370789,"MEDICAL BIOPHYSICS INTERNATIONAL, A PARTNERSHIP CONSISTING SOLELY OF DEVELOPED TECHNOLOGY RESOURCE, INC.",1995-10-31,
77370789,"SARVAZYAN, ARMEN P.",1995-10-31,
77540808,"WHITING, DOUGLAS L.",1995-10-18,
77540808,"DILATUSH, TOM",1995-10-18,
77580926,"ROBERTS, FLOYD",1995-12-12,
77610826,"GANNOE, JAMES RICHARD",1993-04-23,
77610826,"LAVIOLETTE, JOHN J.",1995-04-23,
77830045,"KASIANOWICZ, JOHN",1995-11-14,
78510629,"HILLENBRAND INDUSTRIES, INC.",1996-03-06,
78570188,"SMITH, JONATHAN F.",1995-09-11,
78570188,"PUSHKO, PETER",1995-09-11,
78570188,"PARKER, MICHAEL",1995-09-11,
78570188,"LUDWIG, GEORGE",1995-09-11,
79850957,MILES INC.,1996-06-03,
79910247,UNION BANK,1996-04-01,
79910956,"ADVANCED CARDIOVASCULAR SYSTEMS, INC.",1996-05-24,
79980260,"HILLENBRAND INDUSTRIES, INC.",1996-06-13,
80790621,"MINTER, WAYNE A.",1996-08-05,
81220691,"CADE, DOMINIQUE",1996-08-19,
81220691,"MAES, PAUL",1996-08-19,
81220691,"SCOTT, ROBERT",1996-08-19,
81220936,"CRIVICI, ANNA E",1996-09-03,
81220936,"SMITH, MARTIN SUMNER",1996-09-03,
81270938,"NEWTON, DAVID W.",1996-09-04,
81270938,"ODELL, ROGER C.",1996-09-04,
81270938,"BOYLE, DON R.",1996-09-04,
81280097,"ALLERGAN, INC.",1996-01-17,
81370948,"ODELL, ROGER C.",1996-09-04,
81370948,"EMERLLING, PAUL H.",1996-09-04,
81370948,"NEWTON, DAVID W.",1996-09-04,
81370948,"STEINWAY, ROBERT C.",1996-09-04,
81370948,"BOYLE, DON R.",1996-09-04,
81560724,"ZOMED INTERNATIONAL, INC.",1996-09-17,
81560852,"ZOMED INTERNATIONAL, INC.",1996-09-17,
81560861,"ZOMED INTERNATIONAL, INC.",1996-09-17,
81790675,AT&T CORP.,1996-03-29,
81820909,MILES INC.,1996-09-20,
82000846,"BARNES, WAYNE M.",1996-04-24,
82080222,"ACTODYNE GENERAL, INC.",1996-10-22,
82080224,"ACTODYNE GENERAL, INC.",1996-10-22,
82150367,ARTANN CORPORATION,1996-08-29,
82160932,ARTANN CORPORATION,1996-08-29,
82290313,"PHARNEY, JULIAN ROBERT",1996-08-13,
82290313,"SPITZ, WILLIAM TRACY",1996-08-13,
82470088,"BARWICK, BILLIE JOHN, JR.",1996-11-13,
82470088,"LITTLE, JAMES H.",1996-11-14,
82590789,"INTERCARE SYSTEMS, INC.",1996-11-05,
82670067,"MACCABEE, MALCOLM M.",1996-10-16,
82680894,"DEVON INDUSTRIES, INC.",1996-11-22,
82840505,"SUPPORT SYSTEMS, INTERNATIONAL",1996-12-12,
83210008,B. BRAUN MEDICAL INC.,1996-05-31,
83210096,HOFFMANN-LA ROCHE INC.,1997-01-08,
84010195,"GERSHONY, GARY",1997-01-31,
84440772,"THOMSON, BRUCE A.",1997-02-03,
84440772,"JOLLIFFE, CHARLES L.",1997-02-03,
84470751,MEDICAL GRAPHICS CORPORATION,1997-03-31,
84490737,"WESSELS, ROB",1997-01-24,
84490737,"HAYES, TRENT",1997-02-07,
85020735,AT&T CORP.,1996-03-29,
85190919,KIMBERLY-CLARK CORPORATION,1996-11-30,
85530243,MYCOTECH CORPORATION,1997-01-07,
85790614,"COOPER, RICHARD N.",1997-04-10,
85870230,W.R. GRACE & CO.-CONN.,1997-02-19,
86030268,"GOETZ, RAY W.",1997-05-07,
86120179,"REZNIKOFF, WILLIAM S.",1997-07-03,
86120179,"GORYSHIN, IGOR YU",1997-07-03,
86350667,AT&T CORP,1996-03-29,
86780863,"BUCHHOP, THOMAS ROBERT",1997-08-21,
86780863,"D'ALLEVA, RANDALL",1997-08-21,
86780863,"DARNELL, RONALD KEITH",1997-08-21,
86780863,"LITTLE, JACK RYAN",1997-08-14,
86780863,"PEDERSEN, CURTIS THOMAS",1997-08-21,
86860390,"FUKUCHI, HIROYUKI",1997-07-02,
86930841,"SALEM ENGELHARD BY ENGELHARD POLLUTION CONTROL, INC.",1997-08-21,
86990592,"ADRIAENSSENS, LUC WALTER",1997-08-29,
86990592,"HASHIM, AMID IHSAN",1997-08-29,
86990592,"LARSEN, WAYNE DAVID",1997-08-29,
86990592,"MOFFITT, BRIAN SCOTT",1997-08-29,
86990592,"PHARNEY, JULIAN ROBERT",1997-08-28,
87140638,"EDWARDS, STUART D.",1997-08-11,
87140638,"LAX, RONALD G.",1997-08-08,
87140638,"SHARKEY, HUGH",1997-08-08,
87160304,"AGRO, MARK",1997-09-05,
87160304,"MCALISTER, GARY",1997-09-04,
87160304,"BRILLO, DANIEL",1997-09-02,
87160304,"WARICH, CHARLES",1997-09-08,
87160304,"NELSON, GORDON",1997-09-04,
87160304,"PAILLE, RONALD",1997-09-03,
87310876,"DUBOIS, DWIGHT",1997-09-04,
87580302,"BORKAN, WILLIAM",1997-03-04,
87580308,"BORKAN, WILLIAM",1997-03-04,
87710129,"BOARD OF TRUSTEES, UNIVERSITY OF KENTUCKY",1997-09-29,
87830346,DTS TECHNOLOGY LLC,1997-10-07,
87940608,"SUTTON, THEODORE L.",1997-04-04,
88010230,"COLMAN, JOSHUA L.",1997-10-14,
88010230,"MENACHEM, AMNON",1997-10-14,
88310168,"HUCHZERMEIER, ROY DR.",1997-09-23,
88510388,"WHITTENBERGER, WILLIAM A.",1997-11-11,
88510388,"CHLEBUS, JOHN J.",1997-11-12,
88510388,"KUBSH, JOSEPH E.",1997-11-11,
88760925,"AUTOMATION, INC.",1997-11-19,
88770020,"NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY, ON BEHALF OF THE SECRETARY OF COMMERCE",1996-01-17,
88910316,HOWARD HUGHES MEDICAL INSTITUTE,1998-01-05,
89080963,"BRUNSON, GORDON W.",1997-12-29,
89200426,"COOPER INDUSTRIES, INC.",1998-01-01,
89200437,CHAMPION SPARK PLUG COMPANY,1998-01-01,
89330198,"PORTEC, INC.",1997-12-12,
89330198,PORTEC RAILWAY MAINTENANCE PRODUCTS DIVISION (PORTEC RMPD),1997-12-12,
89330198,PORTEC SHIPPING SYSTEMS DIVISIONS (PORTEC SSD),1997-12-12,
89430119,"HEIL CO., THE",1997-12-19,
89620307,"FELLERS, MATTHEW CONRAD",1998-01-23,
90110402,"MADHANI, AKHIL J.",1998-02-23,
90110402,"SALISBURY, J. KENNETH",1998-02-20,
90150395,"BEASLEY, ANDREW",1998-01-02,
90150938,"BEASLEY, ANDREW",1998-01-02,
90200535,"REZNIKOFF, WILLIAM",1998-01-13,
90200535,"YORK, DONA L.",1998-01-13,
90200535,"GORYSHIN, IGOR YU",1998-01-13,
90200535,"ZHOU, HONG",1998-02-20,
90260569,"BEASLEY, ANDREW",1998-02-02,
90890068,CYRIX CORPORATION,1998-03-09,
90950763,"KUNG, HSIANG-TSUNG",1998-03-23,
91580423,"SMITH, JONATHAN F.",1995-09-11,
91580423,"PUSHKO, PETER",1995-09-11,
91580423,"PARKER, MICHAEL",1995-09-11,
91580423,"LUDWIG, GEORGE",1995-09-11,
91600777,"SOUSA, RUI J.",1998-03-30,
91670199,"BERNINGER, MARK",1998-03-27,
91680827,HYDRA-SLIDE CORPORATION,1998-03-01,
92050001,"SAGE ELECTROCHROMICS, INC.",1998-05-12,
92450844,HOECHST CELANESE CORPORATION,1997-12-30,
92790538,HYDRA-SLIDE CORPORATION,1998-03-01,
93130932,"CHO, MYUNG-SAM",1998-07-08,
93130932,"TRAN, VAN-MAI",1998-07-08,
93190595,"GAL, YORAM",1998-07-02,
93720901,"COLMAN, JOSHUA L.",1997-10-14,
93720901,"MENACHEM, AMNON",1997-10-14,
94070549,"AKESON, MARK",1998-08-14,
94330764,"KROAH-HARTMAN, GREG",1998-08-18,
94340049,"SUKAN, ESER",1998-08-02,
94580456,"TIDES MARINE, INC.",1998-03-18,
94740576,"SABRE INTERNATIONAL, INC.",1998-06-05,
94790194,E. S. ROBBINS CORPORATION,1998-08-15,
94790196,"BURCHAM, GREGORY S.",1998-08-21,
94900672,INTERMEC TECHNOLOGIES CORPORATION,1998-09-02,
94900821,"RAF INDUSTRIES, INC., D/B/A BESTT ROLLR, INC.",1998-08-11,
94900933,XETRON CORPORATION,1997-10-02,
95030128,"PUBLICOVER, MARK W.",1998-09-30,
95030128,"GREINER, JON H.",1998-09-30,
95030128,"PUBLICOVER, J. SCOTT",1998-09-30,
95030128,"BERTSCH, BYRON L.",1998-09-30,
95030201,"SMITH, RD",1998-09-17,
95030201,"SHAFFER, SA",1998-09-17,
95060026,INTERMEC TECHNOLOGIES CORPORATION,1998-10-05,
95060055,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
95060067,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
95060199,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
95060219,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
95060229,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
95060273,INTERMEC TECHNOLOGIES CORPORATION,1998-09-23,
95060283,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
95060294,INTERMEC TECHNOLOGIES CORPOARATION,1998-09-08,
95060313,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
95060397,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
95060442,INTERMEC TECHNOLOGIES CORPORATION,1998-10-05,
95060612,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
95060638,INTERMEC TECHNOLOGIES CORPORATION,1998-09-23,
95080850,INTERMEC TECHNOLOGIES CORPORATION,1998-10-05,
95090171,INTERMEC TECHNOLOGIES CORPORATION,1998-10-05,
95340280,INTERMEC TECHNOLOGIES CORPORATION,1998-10-05,
95340540,INTERMEC TECHNOLOGIES CORPORATION,1998-10-05,
95340647,INTERMEC TECHNOLOGIES CORPORATION,1998-10-05,
95800595,SANTA BARBARA BANK & TRUST,1998-09-30,
95860528,"DELAWARE CAPITAL FORMATION, INC.",1998-11-03,
95860528,"HEIL CO., THE",1998-11-03,
95880665,"ADAN, MANOLITO E.",1998-11-10,
95880665,"HOLMDAHL, TODD E.",1998-11-10,
95880665,"LIPSCOMB, TERRY M.",1998-11-06,
96040148,"PACKARD, THOMAS N.",1998-10-29,
96040148,"FINLAY, DAVID A., SR.",1998-10-29,
96050821,"IDEAS FOR MEDICINE, INC.",1998-09-30,
96050918,"RAF INDUSTRIES, INC., A DELAWARE CORPORATION",1998-08-11,
96050918,"BESTT ROLLR, INC., A DIVISION OF RAF INDUSTRIES, INC., A DELAWARE CORPORATION",1998-08-11,
96510875,"HILL-ROM COMPANY, INC.",1998-10-20,
96700450,INTERNATIONAL BUSINESS MACHINES CORP.,1997-12-18,
96740523,"ACT MEDICAL, INC.",1998-11-19,
96770903,"ALLEN MEDICAL SYSTEMS, INC.",1998-12-01,
96870139,"GODSHAW, DONALD E.",1998-12-21,
96880411,"ACT MEDICAL, INC.",1998-12-21,
96890808,"ALLEN MEDICAL SYSTEMS, INC.",1999-01-07,
96990913,MICROSOFT CORPORATION,1998-12-21,
97030021,"ALLEN MEDICAL SYSTEMS, INC.",1998-12-01,
97070464,INTERMEC TECHNOLOGIES CORPORATION,1998-09-08,
97070929,"RUTKOWSKI, MICHAEL J.",1999-01-07,
97110133,"HORIZON MEDICAL PRODUCTS, INC.",1998-09-30,
97110458,"USA DIGITAL RADIO PARTNERS, L.P.",1998-12-17,
97150104,"LUFF, LAWRENCE E.",1999-01-18,
97150104,"REEDER, RYAN A.",1999-01-18,
97280902,"HOKE, JEFFREY B.",1999-04-13,
97300414,BOEHRINGER MANNHEIM CORPORATION,1998-12-11,
97310257,"RADIANCE MEDICAL SYSTEMS, INC., (FORMERLY CARDIOVASCULAR DYNAMICS, INC.)",1999-01-21,
97480781,"LEGARE, DAVID J.",1999-02-01,
97640534,"UNOVA, INC., A CORPORATION OF DELAWARE",1999-02-05,
97650209,"MAHANY, RONALD L.",1999-04-08,
97650209,"SCHUSTER, THOMAS J.",1999-03-12,
97650209,"ELLIS, MICHAEL K.",1999-04-08,
97650209,"ALT, DANIEL E.",1999-03-10,
97650814,"KASIANOWICZ, JOHN",1999-02-03,
97810191,HOWMEDICA INC.,1998-12-02,
97880010,"BEATY, TERRY ALLEN",1998-12-18,
97880010,"KUHN, LANCE SCOTT",1998-12-18,
97880010,"SVETNIK, VLADIMIR",1999-01-26,
97880010,"BURKE, DAVID W.",1998-12-18,
98100446,"RUTKOWSKI, MICHAEL J.",1999-02-16,
98100446,"BABB, LARRY F.",1999-02-16,
98100446,"DUNKIN, JON R.",1999-02-16,
98220546,"KINAST, ERIC",1999-03-12,
98320507,"KAERSGAARD, PER",1999-02-01,
98320507,"BARINGTON, KARINA ALSOE",1999-02-28,
98320660,"COHN, SIMON",1998-06-25,
98320660,"DICESARE, PAUL",1998-06-26,
98320660,"CARTER, MICHAEL J.",1998-06-25,
98320660,"SWENSON, JON D.",1998-06-25,
98320660,"ECKERT, ANN C.",1998-06-25,
98320660,"GHARIBIAN, NOEL",1998-06-25,
98320660,"NEWMAN, CRAIG D.",1998-09-29,
98330620,INTERMEC TECHNOLOGIES CORPORATION,1999-03-31,
98420529,"MEYER, DENNIS E.",1999-01-27,
98580151,"SARCOS, INC.",1999-03-12,
98660308,INTERMEC TECHNOLOGIES CORPORATION,1999-04-06,
98930943,PHARMACIA & UPJOHN AKTIEBOLAG,1999-03-15,
99200349,SOFTWIRE CORPORATION,1999-04-06,
99340795,"CHUDY, DUANE S.",1999-04-20,
99340795,"YUYAMA, SHOJI",1999-04-05,
99340795,"SUGIMOTO, SHIGERU",1999-04-05,
99480483,"DUERIG, THOMAS",1999-03-08,
99480483,"STOCKEL, DIETER",1999-03-08,
99480483,"BURPEE, JANET",1999-03-08,
99480483,"PELTON, ALAN",1999-03-08,
99840690,"MORTON, GARY",1999-04-28,
99840690,"JOHNSON, NED",1999-04-15,
99960895,"CROWLEY, H.W.",1999-04-18,
99960895,"WALES, R. LANGDON (DECEASED)",1999-04-18,
100470318,"HERWECK, STEVE A.",1999-06-17,
100470318,"GINGRAS, PETER H.",1999-06-08,
100470318,"MARTAKOS, PAUL",1999-06-17,
100470318,"KARWOSKI, THEODORE",1999-06-04,
100520462,"HUEBNER, RANDALL J.",1999-04-21,
100530680,"MARTIN, DREW R.",1999-05-26,
100540439,"ROBERTS, ROBERT MICHAEL",1999-05-03,
100540439,"GREEN, JONATHAN ANDREW",1999-05-03,
100540439,XIE SANCAI,1999-05-11,
100600235,VALLEYLAB INC,1999-05-20,
100610147,"VENTURE LENDING, A DIVISION OF CUPERTINO NATIONAL BANK",1999-06-22,
100790616,"EARLY, JAMES W.",1999-04-30,
100790616,"THOMAS, MATTHEW E.",1999-04-30,
100870947,"MASSIEU, JEAN-LOUIS",1999-05-25,
100870947,"THURIES, SERGE",1999-05-28,
101080512,"KUNERT, STEVEN R.",1999-05-21,
101130460,U.S. ARMY MEDICAL RESEARCH INSTITUTE OF INFECTIOUS DISEASES,1996-10-15,
101210834,QUINTON INSTRUMENTS COMPANY,1998-02-27,
101320237,"REZNIKOFF, WILLIAM S.",1999-07-12,
101320237,"GORYSHIN, IGOR YU",1999-07-12,
101440378,NORAND TECHNOLOGY CORPORATION,1999-03-16,
101540790,"WELCH ALLYN, INC.",1999-07-01,
101640064,"LACE EFFECT, LLC",1999-07-28,
101680939,UNITED STATES SURGICAL CORPORATION,1999-07-29,
101770165,"HART, CHARLES C.",1999-07-28,
101770165,"GADBERRY, DONALD L.",1999-07-28,
101770165,"CHI-SING, EDUARDO",1999-07-28,
101770165,"ASHBY, MARK P.",1999-07-28,
101770165,"URQUIDI, LUIS",1999-07-28,
101770165,"JONES, ROBERT",1999-07-28,
101880724,SG TRUSTEE LLC,1999-05-18,
101930667,"VAN CLEVE, CRAIG BRAINERD",1999-08-12,
101930667,"STACK, CHARLES PAUL",1999-08-10,
101930667,"LANHAM, GREGORY TREAT",1999-08-10,
101950492,"RAMCHANDANI, PREM A.",1999-08-17,
102170084,"LATHROP, DAVID",1999-08-16,
102170084,"JOHNSON, CRAIG",1999-08-16,
102170084,"SPRINGER, ED",1999-08-16,
102200229,"MCNAMARA, MEGAN N.",1999-08-03,
102200229,"YOUNGSTROM, LESLIE",1999-07-29,
102380571,"FINK, RONALD G.",1999-11-19,
102470028,"JOHN ZINK CO., DIV OF KOCH ENG. CO., INC, A KANSAS CORPORATION",1999-08-19,
102480393,INTERMEC TECHNOLOGIES CORPORATION,1999-07-21,
102680973,"SCHARLACK, RONALD S.",1999-05-02,
102690023,"DUSSAULT, RICHARD A.",1999-05-03,
102690323,"WRIGHT, STANLEY E.",1999-09-01,
102730286,"CUI, JIAN",1999-09-06,
102730286,"TONG, WEN",1999-09-07,
102730286,"WANG, RUI",1999-09-07,
102730286,"BAKOULINE, MIKHAIL GERMANOVITCH",1999-09-07,
102730286,"CHLOMA, ALEXANDRE MICHAILOVITCH",1999-09-07,
102730286,"KREINDELINE, VITALI BORISOVITCH",1999-09-07,
102730286,"SHINAKOV, YURI SEMENOVITCH",1999-09-07,
102810553,"HEIL COMPANY, THE",1999-05-12,
103130127,"ALCON LABORATORIES, INC.",1999-10-13,
103130598,GUIDANT CORPORATION,1999-09-30,
103130685,"ORTIZ, MARK",1999-08-31,
103130698,"WILLIAMSON, WARREN P., IV",1999-08-27,
103130768,KINETICS CORP.,1999-07-25,
103130768,"IDX MEDICAL, LTD.",1999-07-19,
103160057,GENCORP INC.,1999-09-30,
103170976,"FISCHER, BERNHARD",1999-09-27,
103170976,"SCHONBERGER, OYVIND L.",1999-09-27,
103170976,"MITTERER, ARTUR",1999-09-27,
103170976,"FIEDLER, CHRISTIAN",1999-09-27,
103170976,"DORNER, FRIEDRICH",1999-09-27,
103170976,"EIBL, JOHANN",1999-09-27,
103210448,NATIONAL SEMICONDUCTOR CORPORATION,1999-09-08,
103270742,TYCO GROUP S.A.R.L.,1998-10-16,
103380934,"MITTERER, ARTUR",1999-10-04,
103380934,"FIEDLER, CHRISTIAN",1999-10-04,
103380934,"FISCHER, BERNHARD",1999-10-04,
103380934,"DORNER, FRIEDRICH",1999-10-04,
103380934,"EIBL, JOHANN",1999-10-04,
103400927,"ECOGEN, INC.",1999-10-08,
103430028,"ADVANCED TECHNOLOGY LABORATORIES, INC",1998-04-07,
103480478,"JAIN, PRAVEEN K.",1999-10-16,
103480478,"SOIN, HARPREET",1999-10-07,
103540728,"SARVAZYAN, ARMEN P.",1999-07-21,
103540728,"EGOROV, VLADIMIR",1999-07-21,
103700243,"VARGAS, JAIME S.",1999-09-26,
103710794,"JOHN ZINK CO., DIV OF KOCH-GLITSCH, INC. A KANSAS CORPORATION",1999-08-19,
104150761,"ROCKWELL SCIENCE CENTER, LLC",1998-12-10,
104220631,"LIU, PEIYA",1999-11-04,
104220631,"HSU, LIIANG-HUA",1999-11-04,
104220631,"DAY, YOUNG FRANCIS",1999-11-04,
104220652,"AGRAWALA, VIVEK",1999-11-16,
104540718,INTERMEC TECHNOLOGIES CORPORATION,1999-07-21,
104550090,"HIGGINS, WILLIAM E.",1999-12-06,
104660261,INTERMEC TECHNOLOGIES CORPORATION,1999-07-21,
104700253,"SCIMED LIFE SYSTEMS, INC.",1999-12-02,
104700870,"MANAGEMENT GRAPHICS, INC.",1999-12-14,
104820720,"LEWIS, DARRIN",1999-11-04,
104820720,"GOOSE, STUART",1999-11-04,
104850646,"MANAGEMENT GRAPHICS, INC.",1999-12-15,
104850646,REDWOOD ACQUISITION,1999-12-15,
104920109,"VIDYANAND, RAMGOPAL",1999-11-30,
104920109,"MOTAMED, MARGARET",2000-01-05,
104960080,"PACIFIC ANALYTICAL TECHNOLOGIES, INC.",1999-12-20,
104990019,"CARTLEDGE, RICHARD G.",1999-11-22,
104990564,"HAMMARSTROEM, OLA",1999-12-07,
105250304,"MANAGEMENT GRAPHICS, INC.",1999-12-20,
105290837,"XEROX CORPORATION, A CORP. OF NEW YORK",1999-11-04,
105340679,"INCONCERT, A DELAWARE CORPORATION",1999-11-04,
105340719,"OSGAR, MICHAEL L.",2000-01-03,
105360185,"MATTSON, STEPHEN DOUGLAS",1999-09-15,
105470581,"NOW TECHNOLOGY, INC.",2000-01-03,
105660303,"GAGNE, REJEAN",1999-07-20,
105660303,"MOREAU, SYLVAIN G.",1999-09-29,
105660303,"BOUCHARD, JEAN-CLAUDE",1999-07-20,
105870867,INTERMEC TECHNOLOGIES CORPORATION INC.,1999-07-21,
105890182,"COLORAGE, INC.",2000-01-03,
105890597,"INTEGRATED DEVICE TECHNOLOGY, INC. A DELAWARE CORPORATION",1999-09-20,
105940369,"XEROX CORPORATION, A NEW YORK CORPORATION",1999-11-04,
105980722,"LETTON, WINSOR",2000-02-04,
105980722,"ZANKER, KLAUS J.",2000-02-04,
106320791,"LOVINGGOOD, BRECK W.",2000-02-17,
106520437,"MANAGEMENT GRAPHICS, INC.",2000-01-05,
106550411,"LINCOLN ELECTRIC COMPANY, THE",1999-04-15,
106560609,"EHR, CHRIS J.",1998-12-07,
106560609,"ARROYO, VALINTINA S.",1998-12-02,
106560609,"KELM, VERNITA",1998-12-03,
106560609,"ROBERTS, KARL D. JR.",1998-12-08,
106560609,"ROBERTS, KARL D. JR.",1998-12-08,
106560609,"VOSSOUGHI, SOHRAB",1999-01-19,
106560609,"GRANT, JAMES N.",1999-02-04,
106730633,"CHUDY, DUANE S.",2000-02-22,
106730633,"JOBUS, RICHARD A.",2000-02-22,
106730633,"SCHULTZ, DAVID A.",2000-02-22,
106810501,INTERMEC TECHNOLOGIES CORPORATION,1999-07-21,
106830680,INCONCERT,1999-11-04,
106890993,"BITSOURCE, INC.",2000-02-23,
106950900,INTERMEC TECHNOLOGIES CORPORATION,1999-07-21,
107170087,BOSTON SCIENTIFIC CORPORATION,2000-03-15,
107190328,NORTEL NETWORKS CORPORATION,2000-02-23,
107320234,INTERMEC TECHNOLOGIES CORPORATION,1999-07-21,
107330789,"NTH DEGREE SOFTWARE, INC.",2000-02-01,
107330792,"NTH DEGREE SOFTWARE, INC., A CORP. OF NEVADA",2000-02-01,
107480040,INTERMEC SCANNER TECHNOLOGY CENTER,2000-03-16,
107550981,"RESMED (R&D) LIMITED, AN AUSTRALIAN COMPANY",2000-03-02,
107590672,"FARRUGIA, STEVEN PAUL",2000-03-02,
107590672,"SOMAIYA, CHINMAYEE",2000-03-02,
107590675,"BREWER, GREGORY NEWTON",2000-03-01,
107590678,"FARRUGIA, STEVEN PAUL",2000-03-02,
107590678,"SOMAIYA, CHINMAYEE",2000-03-02,
107650658,"BITSOURCE, INC.",2000-02-23,
107730281,"E. HELLER & COMPANY, INC.",2000-03-13,
107750522,"E. HELLER & COMPANY, INC.",2000-03-13,
107850318,"IDEXX LABORATORIES, INC.",2000-02-01,
107960028,"TSUGITA, ROSS S.",2000-04-19,
107960028,"MCKENZIE, JOHN",2000-05-02,
108140206,"CATHCO, INC.",1997-12-17,
108840094,"KLEMENTICH, ERICH F.",2000-05-22,
108890463,"THOMSON, BRUCE A.",1997-02-03,
108890463,"JOLLIFFE, CHARLES L.",1997-02-03,
109010274,BAXTER INTERNATIONAL INC.,2000-06-09,
109020386,"BUSSEMAKERS, MARION J.G",2000-05-30,
109130045,"RUBIN, RICHARD A.",2000-02-22,
109130045,"GIULIANO, KENNETH A.",2000-05-12,
109130045,"GOUGH, ALBERT H.",2000-05-22,
109130045,"DUNLAY, R. TERRY",2000-01-06,
109190018,"MATERIALS ENGINEERING AND DEVELOPMENT, INC.",2000-06-02,
109210889,INTERMEC SCANNER TECHNOLOGY CENTER,2000-05-25,
