,patent_number,patent_title,patent_date,patent_kind,assignee_id
20,5675515,Apparatus and method for determining vehicle wheel alignment measurements from three dimensional wheel positions and orientations,1997-10-07,A,996d1179-2d0d-4a05-ac9f-32c3eb34fb69
21,5724128,Apparatus and method for determining vehicle wheel alignment measurements from three dimensional wheel positions and orientations,1998-03-03,A,996d1179-2d0d-4a05-ac9f-32c3eb34fb69
22,5737902,Apparatus and method for packaging pills,1998-04-14,A,160d9b58-249d-45b2-9b0c-2eb6229138a9
23,5170182,Apparatus and method for registering an image on a recording medium,1992-12-08,A,a598e7c9-455b-4da3-99e0-b2b9f4a0090d
24,5797215,Apparatus and method for retaining injection fluids in a tree,1998-08-25,A,
25,5628961,Apparatus for assaying viscosity changes in fluid samples and method of conducting same,1997-05-13,A,2df34f6c-f453-49a2-91d4-54fb3df9e718
26,5398107,Apparatus for biasing the curvature of an image carrier on a transfer drum,1995-03-14,A,ecb003f8-9899-424e-919c-b2682c95adf3
27,5619624,Apparatus for selecting a rasterizer processing order for a plurality of graphic image files,1997-04-08,A,a598e7c9-455b-4da3-99e0-b2b9f4a0090d
28,5335040,Apparatus for selectively notching or cutting photographic film or the like,1994-08-02,A,a598e7c9-455b-4da3-99e0-b2b9f4a0090d
29,5259385,Apparatus for the cannulation of blood vessels,1993-11-09,A,13e881d2-78d7-4d39-80b6-02604e3d8b73
30,4887606,Apparatus for use in cannulation of blood vessels,1989-12-19,A,
31,5827276,Apparatus for volumetric tissue ablation,1998-10-27,A,22e29176-1282-4785-bdfe-9fbcc05f54e7
32,5432344,"Appliance for the oxidation of components in organic samples, and process therefor",1995-07-11,A,c7d21d98-3386-4d1a-b225-63a4c49dfbb6
33,5792135,Articulated surgical instrument for performing minimally invasive surgery with enhanced dexterity and sensitivity,1998-08-11,A,c7aa90ce-7b9e-4930-9241-be9410544d93
34,5523076,Artificial nail composition,1996-06-04,A,4a0aa585-2524-4047-93c4-334ba7c65514
35,5450864,Artificial nail tips,1995-09-19,A,07dba387-b236-4355-bbfc-a2c33873f7a7
36,5702955,Ascorbate resistant detection of hydrogen peroxide,1997-12-30,A,e899239c-3d2a-48a0-90b2-156806f8356e
37,5508171,Assay method with enzyme electrode system,1996-04-16,A,c5991c13-bc9e-417a-bc3c-77b4ad064ca3
38,5737839,Assembly and method for making catalytic converter structures,1998-04-14,A,8287d724-9e9e-4ef6-a978-afc03a5f79ee
39,5505947,Attenuating mutations in Venezuelan Equine Encephalitis virus,1996-04-09,A,614585b3-ae9b-4662-8d5d-acb52b19cffd
40,5612188,"Automated, multicompartmental cell culture system",1997-03-18,A,9b30d6b4-5b41-428d-a87e-a44df8ff18fe
41,5278599,Automatic sheet loader for imaging apparatus,1994-01-11,A,a598e7c9-455b-4da3-99e0-b2b9f4a0090d
42,5548201,Battery charging method and apparatus with thermal mass equalization,1996-08-20,A,a924e85d-814e-4015-8659-90bb84360392
43,5717313,Battery charging method and apparatus with thermal mass equalization,1998-02-10,A,a924e85d-814e-4015-8659-90bb84360392
44,5682631,Bed having a reduced-shear pivot and step deck combination,1997-11-04,A,e5fc32c3-a913-455a-94ce-9932d30eefff
45,5699038,Bed status information system for hospital beds,1997-12-16,A,e5fc32c3-a913-455a-94ce-9932d30eefff
46,5630238,"Bed with a plurality of air therapy devices, having control modules and an electrical communication network",1997-05-20,A,e5fc32c3-a913-455a-94ce-9932d30eefff
47,5470334,Bioabsorbable interference bone fixation screw,1995-11-28,A,f8c3e4ad-3a12-4ef7-aa1a-a01f76d65bca
48,5830182,Block copolymer elastomer catheter balloons,1998-11-03,A,dc3c7a48-f9d2-46ca-9dbe-ec28502d6e74
49,5759160,Blood sampling system,1998-06-02,A,46178a40-9455-43b5-ba2a-79ee616a48d2
50,5765457,Brake lathe with display,1998-06-16,A,996d1179-2d0d-4a05-ac9f-32c3eb34fb69
51,5276490,Buried electrode drum for an electrophotographic print engine,1994-01-04,A,ecb003f8-9899-424e-919c-b2682c95adf3
52,5459560,Buried electrode drum for an electrophotographic print engine with controlled resistivity layer,1995-10-17,A,ecb003f8-9899-424e-919c-b2682c95adf3
53,5108597,Carbon-clad zirconium oxide particles,1992-04-28,A,dc73969f-f12c-4957-ad3c-e28e93c64f3d
54,5254262,Carbon-clad zirconium oxide particles,1993-10-19,A,dc73969f-f12c-4957-ad3c-e28e93c64f3d
55,5346619,Carbon-clad zirconium oxide particles,1994-09-13,A,dc73969f-f12c-4957-ad3c-e28e93c64f3d
56,5453576,Cardiovascular measurements by sound velocity dilution,1995-09-26,A,61d70774-275a-4151-8f4f-e33682efd989
57,5595182,Cardiovascular measurements by sound velocity dilution,1997-01-21,A,61d70774-275a-4151-8f4f-e33682efd989
58,5283041,Catalytic incineration of organic compounds,1994-02-01,A,8287d724-9e9e-4ef6-a978-afc03a5f79ee
59,5643545,"Catalytic method and device for controlling VOC, CO and halogenated organic emissions",1997-07-01,A,8287d724-9e9e-4ef6-a978-afc03a5f79ee
60,5451388,Catalytic method and device for controlling VOC. CO and halogenated organic emissions,1995-09-19,A,8287d724-9e9e-4ef6-a978-afc03a5f79ee
61,5578283,"Catalytic oxidation catalyst and method for controlling VOC, CO and halogenated organic emissions",1996-11-26,A,8287d724-9e9e-4ef6-a978-afc03a5f79ee
62,5653949,"Catalytic oxidation catalyst and method for controlling voc, CO and halogenated organic emissions",1997-08-05,A,8287d724-9e9e-4ef6-a978-afc03a5f79ee
63,5464398,Catheter,1995-11-07,A,
64,5715934,CD-ROM label with positioning means,1998-02-10,A,2fbdc785-6b47-4097-a2a2-429237656140
65,5185440,cDNA clone coding for Venezuelan equine encephalitis virus and attenuating mutations thereof,1993-02-09,A,614585b3-ae9b-4662-8d5d-acb52b19cffd
66,5639650,cDNA clone for South African Arbovirus No. 86,1997-06-17,A,614585b3-ae9b-4662-8d5d-acb52b19cffd
67,4997694,Cellular ceramic and foam materials,1991-03-05,A,
68,5715548,Chair bed,1998-02-10,A,e5fc32c3-a913-455a-94ce-9932d30eefff
69,5795782,Characterization of individual polymer molecules based on monomer-interface interactions,1998-08-18,A,120d147d-ac48-4a52-a41e-cedc464cc958
70,5694082,Circuit arrangement for determining intermodulation products,1997-12-02,A,a847e25e-8ec0-461a-a7c0-5c05c969982e
71,5800511,Clad composite stent,1998-09-01,A,3e30f779-123c-4fc0-a301-68d789f06db4
72,5484416,Coaxial cable vascular access system for use in various needles,1996-01-16,A,13e881d2-78d7-4d39-80b6-02604e3d8b73
73,5415311,Collapsible storage containers,1995-05-16,A,1dae6353-3463-4d3e-bce8-63d7591bbfbb
74,5760913,Color calibration method and system having independent color scanner profiles,1998-06-02,A,9e61ac5c-c105-4154-9132-977ab8669f55
75,5212546,Color correction system employing reference pictures,1993-05-18,A,6cbd7aee-d494-4a50-8884-ab4dc2c763de
76,5771511,Communication network for a hospital bed,1998-06-30,A,e5fc32c3-a913-455a-94ce-9932d30eefff
77,5733873,"Composition comprising coagulation factor VIII formulation, process for its preparation and use of a surfactant as stabilizer",1998-03-31,A,78af7383-460c-44a1-9f4e-51fdb611b6f3
78,5658737,Compositions and methods for the simultaneous detection and quantification of multiple specific nucleic acid sequences,1997-08-19,A,425cd741-4844-49f0-a1fa-546107d327f9
79,5827656,Compositions and methods for the simultaneous detection and quantification of multiple specific nucleic acid sequences,1998-10-27,A,425cd741-4844-49f0-a1fa-546107d327f9
80,5514551,Compositions for the detection of Chlamydia trachomatis,1996-05-07,A,425cd741-4844-49f0-a1fa-546107d327f9
81,5756709,Compositions for the simultaneous detection and quantification of multiple specific nucleic acid sequences,1998-05-26,A,425cd741-4844-49f0-a1fa-546107d327f9
82,5823689,Computer system with bi-directional communication and method,1998-10-20,A,07ff496c-cec2-416d-9b5a-13a6fbd03c38
83,5567740,Conductive polyurethane foam compositions and method for producing same,1996-10-22,A,3860ed0c-8e84-4bed-ba0b-9d7a57d3a6b9
84,5807016,Connection of windshield wiper blades,1998-09-15,A,16a6e106-8929-47a8-b3b6-d3b8afc40510
85,5700167,Connector cross-talk compensation,1997-12-23,A,5a5c2a76-de50-44d1-8c54-82e4c8fd253c
86,5519914,Contact type automatic roll cleaner,1996-05-28,A,
87,5769267,Container,1998-06-23,A,bbd2207d-150b-4c60-b6f1-1cf493f9a825
88,5752914,Continuous mesh EMI shield for pulse oximetry sensor,1998-05-19,A,1cba5d13-bbd9-4637-9ad5-d458b241347e
89,5797154,Contoured pillow,1998-08-25,A,3860ed0c-8e84-4bed-ba0b-9d7a57d3a6b9
90,5818027,Control circuit for a bar code scanner,1998-10-06,A,ce9b2f65-234e-40b1-95ad-f6ee0c89a5c8
91,5827430,Coreless and spirally wound non-woven filter element,1998-10-27,A,9cea700a-2f0d-4755-a5c8-32b49f1f3135
92,5818199,Current limited charging apparatus for lithium batteries or the like,1998-10-06,A,a924e85d-814e-4015-8659-90bb84360392
93,5615093,Current synchronous zero voltage switching resonant topology,1997-03-25,A,2070f124-f07f-4f6e-ae97-ab8e177ff0bb
94,5793967,Data collection and RF communications system and method of developing applications for same,1998-08-11,A,d9327852-5c59-4c68-9435-7b12c89fbff3
95,5796359,Data conversion and processing system,1998-08-18,A,a924e85d-814e-4015-8659-90bb84360392
96,4882678,Data sensing and processing device for scuba divers,1989-11-21,A,2a816ef7-14f8-4b03-8d44-8fe7e975ffd2
97,5590173,Delay insensitive base station-to-handset interface for radio telephone systems,1996-12-31,A,
98,5656207,Detecting or quantifying multiple analytes using labelling techniques,1997-08-12,A,425cd741-4844-49f0-a1fa-546107d327f9
99,5756011,Detecting or quantifying multiple analytes using labelling techniques,1998-05-26,A,425cd741-4844-49f0-a1fa-546107d327f9
100,5563689,Developer module with electromagnetic shutter,1996-10-08,A,ecb003f8-9899-424e-919c-b2682c95adf3
101,5725498,Device and method for sealing puncture wounds,1998-03-10,A,3a0b1bd3-8027-4087-bbce-4c1d06bf3ef3
102,5655258,Device for aspirating fluids from hospital operating room floor,1997-08-12,A,
103,5720078,Device for aspirating fluids from hospital operating room floor,1998-02-24,A,
104,5451780,Device for setting slit widths in the beam path of spectrometers,1995-09-19,A,c7d21d98-3386-4d1a-b225-63a4c49dfbb6
105,5472441,Device for treating cancer and non-malignant tumors and methods,1995-12-05,A,bd890bbd-1ed5-4bf6-9b52-d9a47d9bb4aa
106,5692511,Diagnostic tomographic laser imaging apparatus,1997-12-02,A,
107,4586136,Digital computer for determining scuba diving parameters for a particular diver,1986-04-29,A,
108,5767860,Digital mark-making method,1998-06-16,A,acb4c446-a93a-49e7-8f79-e59d69565a5b
109,5602884,Digital phase locked loop,1997-02-11,A,4d5ff864-66c4-4d79-a080-e318117cb326
110,5764681,Directional control method and apparatus for ring laser,1998-06-09,A,9b30d6b4-5b41-428d-a87e-a44df8ff18fe
111,5810199,Dispensing instrument for fluid monitoring sensor,1998-09-22,A,e899239c-3d2a-48a0-90b2-156806f8356e
112,5575403,Dispensing instrument for fluid monitoring sensors,1996-11-19,A,e899239c-3d2a-48a0-90b2-156806f8356e
113,5630986,Dispensing instrument for fluid monitoring sensors,1997-05-20,A,e899239c-3d2a-48a0-90b2-156806f8356e
114,5738244,Dispensing instrument for fluid monitoring sensors,1998-04-14,A,e899239c-3d2a-48a0-90b2-156806f8356e
115,5628427,Disposable cooking pan,1997-05-13,A,f444fcad-328b-4269-98fa-6c5dd85672b0
116,5656423,"DNA sequences derived from the genome of the papillomavirus HPV39, their use in in vitro diagnosis and for the production of an immunogenic composition",1997-08-12,A,067e1110-7638-4840-8dfb-cc9434d518f1
117,5706973,Drinking cup and cover with flow control elements,1998-01-13,A,1c130e09-0947-4be1-bd3a-02a63fdec543
118,5807358,Dry suction regulator blood collection device,1998-09-15,A,9c914ee4-5b46-43fb-8fbe-48668f526d2a
119,4227762,Electrical connector assembly with latching bar,1980-10-14,A,f3ec11d3-0e65-4059-845a-65415e69f9e0
120,5041018,Electrical connector receptacle,1991-08-20,A,9b151b06-9c12-4260-bb4e-87440d939bb1
121,5724177,Electrochromic devices and methods,1998-03-03,A,d47164ea-ff9c-4b7f-b895-027344031189
122,5528490,Electronic catalog system and method,1996-06-18,A,76c6c844-7fb2-4fd9-8004-5476e1ce88fe
123,5312401,Electrosurgical apparatus for laparoscopic and like procedures,1994-05-17,A,70f92611-e4dc-4733-a08b-13b1407af48f
124,5688269,Electrosurgical apparatus for laparoscopic and like procedures,1997-11-18,A,70f92611-e4dc-4733-a08b-13b1407af48f
125,5769841,Electrosurgical apparatus for laparoscopic and like procedures,1998-06-23,A,70f92611-e4dc-4733-a08b-13b1407af48f
126,5795588,Encapsulated product,1998-08-18,A,bbd2207d-150b-4c60-b6f1-1cf493f9a825
127,5828052,"Ergonometric modular hand-held scanner, including an ergonomic handle and hilt",1998-10-27,A,ce9b2f65-234e-40b1-95ad-f6ee0c89a5c8
128,5810408,Ergonomically efficient tool,1998-09-22,A,
129,5638452,Expandable multi-dimensional sound circuit,1997-06-10,A,2986e46e-7937-477f-9bc5-1f5eec05183f
130,5560444,Expandable trailer having a position locking feature,1996-10-01,A,ed1591bb-b2a5-485c-80f0-a1dc7c2285d9
131,5825045,Extended range highly selective low power consuming data tag and information display system,1998-10-20,A,a924e85d-814e-4015-8659-90bb84360392
132,5493199,Fast battery charger,1996-02-20,A,a924e85d-814e-4015-8659-90bb84360392
133,5696435,Fast battery charger for a device having a varying electrical load during recharging,1997-12-09,A,a924e85d-814e-4015-8659-90bb84360392
134,5600784,Fault resilient\/fault tolerant computing,1997-02-04,A,ba1a7d7a-6394-4f59-a009-18b32248fa74
135,5790397,Fault resilient\/fault tolerant computing,1998-08-04,A,ba1a7d7a-6394-4f59-a009-18b32248fa74
136,5520693,Femoral guide and methods of precisely forming bone tunnels in cruciate ligament reconstruction of the knee,1996-05-28,A,
137,5576515,Fire resistant cable for use in local area networks,1996-11-19,A,5a5c2a76-de50-44d1-8c54-82e4c8fd253c
138,5689090,Fire resistant non-halogen riser cable,1997-11-18,A,5a5c2a76-de50-44d1-8c54-82e4c8fd253c
139,5810575,Flare apparatus and methods,1998-09-22,A,
140,5038773,Flow meter system,1991-08-13,A,cd4fae3e-d2c9-41a6-a31a-53d8bbe313a6
141,5259386,Flow monitor and vascular access system with continuously variable frequency control,1993-11-09,A,13e881d2-78d7-4d39-80b6-02604e3d8b73
142,5363852,Flow monitor and vascular access system with continuously variable frequency control,1994-11-15,A,13e881d2-78d7-4d39-80b6-02604e3d8b73
143,5704967,Fluid storage and delivery system comprising high work capacity physical sorbent,1998-01-06,A,8ecdee7a-9197-4d8f-b317-3e1900ebfa15
144,5704965,Fluid storage and delivery system utilizing carbon sorbent medium,1998-01-06,A,8ecdee7a-9197-4d8f-b317-3e1900ebfa15
145,4930535,Folding leaf valve and method of making,1990-06-05,A,c641d236-0a0f-4877-ab23-b679de32406f
146,5479666,Foot egress chair bed,1996-01-02,A,e5fc32c3-a913-455a-94ce-9932d30eefff
147,5799232,Friction drive for an electrophotographic print engine,1998-08-25,A,ecb003f8-9899-424e-919c-b2682c95adf3
148,5814742,"Fully automated micro-autosampler for micro, capillary and nano high performance liquid chromatography",1998-09-29,A,a4b6ad31-f09b-40e8-a7c7-479f0bad9f0c
149,5467635,Gas chromatograph,1995-11-21,A,0f63d31a-dac4-4326-afe8-e0d9ca77e826
150,5716851,Glass\/cellulose as protein reagent,1998-02-10,A,e899239c-3d2a-48a0-90b2-156806f8356e
151,5789379,Glucagon-like peptide-2 analogs,1998-08-04,A,1186cb49-c643-4990-9a2d-08e7d551f8b7
152,5260614,Hall sensor with automatic compensation,1993-11-09,A,2cb23822-8356-4727-a1b9-5a15e9dd0cf0
153,5722412,Hand held ultrasonic diagnostic instrument,1998-03-03,A,c4ac7cfd-df01-4077-a80a-ce75f6a268bb
154,5817024,Hand held ultrasonic diagnostic instrument with digital beamformer,1998-10-06,A,7058c250-7265-46a1-97c1-65bf0e91da14
155,5816337,Handle of gardening tool,1998-10-06,A,
156,5398354,Heel pillow mattress,1995-03-21,A,c884ef9c-782a-4965-9317-86ea5656ff65
157,5585648,"High brightness electroluminescent device, emitting in the green to ultraviolet spectrum, and method of making the same",1996-12-17,A,
158,5772874,High performance liquid chromatography method and apparatus,1998-06-30,A,d43b03b7-839c-4ea6-9e2d-b7a66a9b07ac
159,5795469,High performance liquid chromatography method and apparatus,1998-08-18,A,d43b03b7-839c-4ea6-9e2d-b7a66a9b07ac
160,5803394,High speed dual head on-line winding apparatus,1998-09-08,A,caa2be79-3a64-44c0-95cd-94f3bb9de128
161,5678778,"High speed, dual head, on-line winding apparatus",1997-10-21,A,caa2be79-3a64-44c0-95cd-94f3bb9de128
162,5015373,High stability porous zirconium oxide spherules,1991-05-14,A,dc73969f-f12c-4957-ad3c-e28e93c64f3d
163,5141634,High stability porous zirconium oxide spherules,1992-08-25,A,dc73969f-f12c-4957-ad3c-e28e93c64f3d
164,5205929,High stability porous zirconium oxide spherules,1993-04-27,A,dc73969f-f12c-4957-ad3c-e28e93c64f3d
165,4985467,Highly absorbent polyurethane foam,1991-01-15,A,2c8f99fd-86bf-48f7-aa57-d8a55bf643f4
166,5580755,Human pluripotent granulocyte colony-stimulating factor,1996-12-03,A,ebbca3e0-2df5-4eeb-bc81-604eac1d41e7
167,5650450,Hydrophilic urethane foam,1997-07-22,A,3860ed0c-8e84-4bed-ba0b-9d7a57d3a6b9
168,5468743,"Imidazo[2,1-b]benzazepine derivatives, compositions and method of use",1995-11-21,A,42ba18a5-d1b0-417e-83d7-5837e3de6ace
169,5743566,Index divider sheet assembly and the like,1998-04-28,A,e6d56ef1-9c05-4035-85e2-f10b5225c7d4
170,5343311,Indexed processing of color image data,1994-08-30,A,6cbd7aee-d494-4a50-8884-ab4dc2c763de
171,5517334,Indexed processing of color image data,1996-05-14,A,6cbd7aee-d494-4a50-8884-ab4dc2c763de
172,5647079,Inflatable patient support surface system,1997-07-15,A,e5fc32c3-a913-455a-94ce-9932d30eefff
173,5275616,Insertion assembly and method of inserting a vessel plug into the body of a patient,1994-01-04,A,075fddd9-f31f-410e-a474-b4bb2283ef7e
174,5591205,Insertion assembly and method of inserting a vessel plug into the body of a patient,1997-01-07,A,075fddd9-f31f-410e-a474-b4bb2283ef7e
175,5601602,Insertion assembly and method of inserting a vessel plug into the body of a patient,1997-02-11,A,075fddd9-f31f-410e-a474-b4bb2283ef7e
176,5716375,Insertion assembly and method of inserting a vessel plug into the body of a patient,1998-02-10,A,075fddd9-f31f-410e-a474-b4bb2283ef7e
177,5503331,Insulated rail joint incorporating spacer-impregnated adhesive and method for bonding insulated rail joints,1996-04-02,A,4a141bee-b434-4886-92e5-af2f4c0e5962
178,5614319,"Insulating composition, insulated plenum cable and methods for making same",1997-03-25,A,16509bf3-fd9f-4e05-b2fb-f30e44500091
179,5501617,Insulation displacement connector insertion cap,1996-03-26,A,18193997-6330-413e-b31b-0bb75a36d008
180,5731645,Integrated motor\/generator\/flywheel utilizing a solid steel rotor,1998-03-24,A,54e3a942-20b3-46b0-a893-a0ab91c10fa9
181,5793491,Intelligent vehicle highway system multi-lane sensor and method,1998-08-11,A,ec72750e-f789-4749-91f7-6292f7c6fda7
182,5546188,Intelligent vehicle highway system sensor and method,1996-08-13,A,ec72750e-f789-4749-91f7-6292f7c6fda7
183,5757472,Intelligent vehicle highway system sensor and method,1998-05-26,A,ec72750e-f789-4749-91f7-6292f7c6fda7
184,5615314,Interface for providing rasterized data to an imaging device,1997-03-25,A,a598e7c9-455b-4da3-99e0-b2b9f4a0090d
185,5645599,Interspinal vertebral implant,1997-07-08,A,0058f93a-9410-473a-ac27-e5731fd74b98
186,5084061,Intragastric balloon with improved valve locating means,1992-01-28,A,
187,5658251,Intravascular catheter with distal guide wire lumen and transition member,1997-08-19,A,dc3c7a48-f9d2-46ca-9dbe-ec28502d6e74
188,5797856,Intravascular guide wire and method,1998-08-25,A,e638e049-8c6b-40f7-9b52-9320c2a0148d
189,5625712,Iterative compression of digital images,1997-04-29,A,a598e7c9-455b-4da3-99e0-b2b9f4a0090d
190,5662976,Laminated card assembly,1997-09-02,A,e6d56ef1-9c05-4035-85e2-f10b5225c7d4
191,5763829,Leadframe including frame-cutting slit for lead-on-chip (LOC) semiconductor device and semiconductor device incorporating the leadframe,1998-06-09,A,7a57443a-8568-48a3-9996-ee8910e0f710
192,5726535,LED retrolift lamp for exit signs,1998-03-10,A,
193,5735593,Light fixture apparatus for a hospital room,1998-04-07,A,e5fc32c3-a913-455a-94ce-9932d30eefff
194,5463467,Light source pulsed with irregular pulse sequence in analog photometric signal evaluation for a test carrier analysis system,1995-10-31,A,c5991c13-bc9e-417a-bc3c-77b4ad064ca3
195,5586802,Linkage for guiding a retractable room,1996-12-24,A,
196,5729865,Lock for telescoping extension poles,1998-03-24,A,03b50113-89c4-4c64-8d8c-435bbecd8c93
197,5483709,Low air loss mattress with rigid internal bladder and lower air pallet,1996-01-16,A,e5fc32c3-a913-455a-94ce-9932d30eefff
198,5552599,Mass spectrometer having an ICP source,1996-09-03,A,fdbbddf1-3c2c-4920-bd84-4c4846d98c7b
199,5625185,"Mass spectrometer, especially ICP-MS",1997-04-29,A,c7d21d98-3386-4d1a-b225-63a4c49dfbb6
200,5774914,Maternity bed,1998-07-07,A,60d95f5b-895d-4000-945c-10da0a3f5e88
201,5692256,Mattress for a hospital bed,1997-12-02,A,e5fc32c3-a913-455a-94ce-9932d30eefff
202,5555578,Mattress linen securing device,1996-09-17,A,
203,5666682,Mattress pad of adjustable size,1997-09-16,A,
204,5632410,Means of handling multiple sensors in a glucose monitoring instrument system,1997-05-27,A,e899239c-3d2a-48a0-90b2-156806f8356e
205,5671875,Measuring\/dispensing closure flip-top cap and built in shut-off blade,1997-09-30,A,b38ccbf5-640a-4b34-a154-b523c7ce43c2
206,5577190,Media editing system with adjustable source material compression,1996-11-19,A,ab72bf48-fbe4-429f-94bf-94a91b34e4da
207,5486161,Medical probe device and method,1996-01-23,A,bd890bbd-1ed5-4bf6-9b52-d9a47d9bb4aa
208,5601082,Medical ultrasound imaging,1997-02-11,A,d05625ad-8ef3-4983-8ec6-3efb7d2ee18d
209,5583623,Method and apparatus for attaching an image receiving member to a transfer drum,1996-12-10,A,ecb003f8-9899-424e-919c-b2682c95adf3
210,5784164,Method and apparatus for automatically and simultaneously determining best focus and orientation of objects to be measured by broad-band interferometric means,1998-07-21,A,71c8e80b-923b-4d0f-bb7d-ed078ac34ebc
211,5543940,Method and apparatus for converting color scanner signals into colorimetric values,1996-08-06,A,6cbd7aee-d494-4a50-8884-ab4dc2c763de
212,5798513,Method and apparatus for decoding unresolved profiles produced from relief formed symbols,1998-08-25,A,ce9b2f65-234e-40b1-95ad-f6ee0c89a5c8
213,5540232,Method and apparatus for displaying pacer signals on an electrocardiograph,1996-07-30,A,2dedb3af-0143-4bf5-902e-5209aa7bf952
214,5727119,Method and apparatus for efficient implementation of single-sideband filter banks providing accurate measures of spectral magnitude and phase,1998-03-10,A,f65dac4c-24c9-401d-82fe-ef358e223ed8
215,5524636,Method and apparatus for elasticity imaging,1996-06-11,A,94d2041a-85f5-45d4-976d-bd4b58bef133
216,5810731,Method and apparatus for elasticity imaging using remotely induced shear wave,1998-09-22,A,94d2041a-85f5-45d4-976d-bd4b58bef133
217,5505206,Method and apparatus for excluding artifacts from automatic blood pressure measurements,1996-04-09,A,a467fec6-886c-490f-82cd-6b90563b55be
218,5601435,Method and apparatus for interactively monitoring a physiological condition and for interactively providing health related information,1997-02-11,A,449fc7ee-2ea8-4b1d-b66b-8668c3dfdedb
219,5745657,Method and apparatus for multi-modal printing with electrophotographic print engine,1998-04-28,A,ecb003f8-9899-424e-919c-b2682c95adf3
220,5366457,Method and apparatus for preparing a bone and tendon graft,1994-11-22,A,8327837f-3ac3-4a6c-9dc3-817e3b3adaed
221,5553200,Method and apparatus for providing bit-rate reduction and reconstruction of image data using dither arrays,1996-09-03,A,6cbd7aee-d494-4a50-8884-ab4dc2c763de
222,5767972,Method and apparatus for providing data age compensation in an interferometer,1998-06-16,A,71c8e80b-923b-4d0f-bb7d-ed078ac34ebc
223,5767591,Method and apparatus for providing startup power to a genset-backed uninterruptible power supply,1998-06-16,A,6fabad8e-45b2-4420-90d6-a2a6c3d743ad
224,5724605,Method and apparatus for representing and editing multimedia compositions using a tree structure,1998-03-03,A,ab72bf48-fbe4-429f-94bf-94a91b34e4da
225,5735158,Method and apparatus for skew corrugating foil,1998-04-07,A,8287d724-9e9e-4ef6-a978-afc03a5f79ee
226,5586346,Method and apparatus for supporting and for supplying therapy to a patient,1996-12-24,A,2f429723-786c-4514-93f7-fd1637d219e4
227,5666436,Method and apparatus for transforming a source image to an output image,1997-09-09,A,6cbd7aee-d494-4a50-8884-ab4dc2c763de
228,5811777,Method and apparatus for utilizing specular light to image low contrast symbols,1998-09-22,A,ce9b2f65-234e-40b1-95ad-f6ee0c89a5c8
229,5647851,Method and apparatus for vibrating an injection device,1997-07-15,A,
230,4828056,Method and apparatus for weighing material,1989-05-09,A,85082a90-f6cc-41e9-88dd-0c376939b6c3
231,5510266,Method and apparatus of handling multiple sensors in a glucose monitoring instrument system,1996-04-23,A,e899239c-3d2a-48a0-90b2-156806f8356e
232,5733673,Method and apparatus to detect imminent battery removal in a portable electronic device,1998-03-31,A,a924e85d-814e-4015-8659-90bb84360392
233,5685989,Method and apparatus to measure blood flow and recirculation in hemodialysis shunts,1997-11-11,A,61d70774-275a-4151-8f4f-e33682efd989
