,ref_id,patent_id,assignment_conveyance,record_date,last_update_date,exec_date,name_assignee,city_assignee,country_assignee,assignor_name,patent_marked,coutnry_assignee
34,70590881,5463467,assignment,1994-06-27,2006-11-17,1994-06-08,BOEHRINGER MANNHEIM GMBH,MANNHEIM 31,,"BAUMANN, EDGAR",1,GERMANY
35,77970200,5601082,assignment,1995-12-15,1997-02-08,1995-09-27,INTRAVASCULAR RESEARCH LIMITED,LONDON,,"BARLOW, CHRISTOPHER JOHN",1,ENGLAND
36,84730681,5784164,assignment,1997-03-20,1999-08-02,1997-03-18,ZYGO CORPORATION,MIDDLEFIELD,,"DECK, LESLIE L.",1,nan
37,69850856,5543940,assignment,1994-02-02,1996-08-26,1994-02-02,"ELECTRONICS FOR IMAGING,INC.",SAN MATEO,,"SHERMAN, DORON",1,nan
38,74510032,5553200,assignment,1995-04-27,1996-09-02,1995-04-17,"ELECTRONICS FOR IMAGING, INC.",SAN MATEO,,"ACCAD, YIGAL",1,nan
39,80350650,5767972,assignment,1996-06-04,1999-07-29,1996-06-03,ZYGO CORPORATION,MIDDLEFIELD,,"DEMAREST, FRANK C.",1,nan
40,74940453,5510266,assignment,1995-05-05,1996-07-23,1995-04-20,BAYER CORPORATION,ELKHART,,"BONNER, LYDIA M.",1,nan
41,71350196,5685989,assignment,1994-09-16,2006-11-27,1994-09-15,"TRANSONIC SYSTEMS, INC.",ITHACA,,"KRIVITSKI, NIKOLAI M.",1,nan
42,77930794,5658451,assignment,1995-11-28,1997-08-16,1995-11-20,AVL MEDICAL INSTRUMENTS AG,CH-8207 SCHAFFHAUSEN,,"LEINER, MARCO JEAN-PIERRE",1,SWITZERLAND
43,86870870,5773301,assignment,1997-07-14,1999-08-02,1997-07-07,AVL MEDICAL INSTRUMENTS AG,CH-8207 SCHAFFHAUSEN,,"ZIEGLER, WERNER",1,SWITZERLAND
44,69850345,5423934,assignment,1993-12-17,2007-11-05,1993-12-02,"MUNTERS, AB CARL","S-191 07 SOLLENTUNA,",,"VANGBO, HAKAN",1,SWEDEN
45,70760072,5500402,assignment,1994-04-26,1996-07-23,1994-04-22,"AB CARL MUNTERS BOX 7093, S-191 07",nan,,"VANGBO, HAKAN",1,nan
46,79410462,5614425,assignment,1996-03-27,1997-03-22,1996-03-13,KABUSHIKI KAISHA TOSHIBA,KAWASAKI-SHI,,"KIMURA, KOJI",1,JAPAN
47,87340456,5831404,assignment,1997-08-04,1999-08-02,1997-07-28,"MAX CO., LTD.",TOKYO,,"ISHII, SYUICHI",1,JAPAN
48,85240060,5753197,assignment,1997-01-21,1999-08-02,1996-10-31,ENGELHARD CORPORATION,ISELIN,,"CHEN, JAMES M.",1,nan
49,81470954,5635517,assignment,1996-07-24,1997-05-30,1996-07-23,CELGENE CORPORATION,WARREN,,"MULLER, GEORGE W.",1,nan
50,224160268,5605664,namechg,2009-03-19,2015-04-21,2006-09-14,ABBOTT POINT OF CARE INC.,PRINCETON,,I-STAT CORPORATION,1,nan
51,224160268,5614416,namechg,2009-03-19,2015-04-21,2006-09-14,ABBOTT POINT OF CARE INC.,PRINCETON,,I-STAT CORPORATION,1,nan
52,147880043,5725376,assignment,2004-06-28,2004-06-29,2000-05-26,TECHNIQUE D'USINAGE SINLAB INC.,"STE-AGATHE-DES-MONTS, QUEBEC",,"POIRIER, MICHEL",1,CANADA
53,224160268,5789253,namechg,2009-03-19,2015-04-21,2006-09-14,ABBOTT POINT OF CARE INC.,PRINCETON,,I-STAT CORPORATION,1,nan
54,242860829,5735360,assignment,2010-04-26,2010-04-27,2010-02-15,"ROBERT W. ENGSTROM, TRUSTEE OF THE ROBERT W. ENGSTROM REVOCABLE TRUST, DATED THE 20TH DAY OF OCTOBER, 2009",GILLETTE,,"ENGSTROM, ROBERT W.",1,nan
55,63650182,5406202,assignment,1992-12-08,2007-09-07,1992-11-24,DEUTSCHE ITT INDUSTRIES GMBH,"D-7800, FREIBURG",,"MEHRGARDT, SOENKE",1,GERMANY
56,168510007,5712092,assignment,2005-10-04,2005-12-05,2003-05-27,"ROCHE MOLECULAR SYSTEMS, INC.",PLEASANTON,,INSTITUT PASTEUR,1,nan
57,170450343,5391169,security,2005-02-03,2006-04-11,2004-04-12,"WELLS FARGO BANK, N.A.",ANCHORAGE,,"MGGUIRE, DAVID A.",1,nan
58,373880975,5782833,security,2015-12-31,2016-01-01,2015-12-24,"WELLS FARGO BANK, NATIONAL ASSOCIATION",SANTA MONICA,,SEASPINE HOLDINGS CORPORATION,1,nan
59,64640287,5305636,assignment,1993-03-19,1993-05-07,1993-02-23,HUNTER ENGINEERING COMPANY,BRIDGETON,,"BALSAROTTI, STEVEN C.",1,nan
60,60360181,5083456,assignment,1992-03-09,1999-07-29,1992-03-02,HUNTER ENGINEERING COMPANY,BRIDGETON,,"COLARELLI, NICHOLAS J., III",1,nan
61,64960109,5230242,assignment,1993-03-29,2007-09-13,1993-03-18,HUNTER ENGINEERING COMPANY,BRIDGETON,,"COLARELLI, NICHOLAS J., III",1,nan
62,68360111,5379636,assignment,1994-01-24,2008-03-21,1993-11-12,HUNTER ENGINEERING COMPANY,BRIDGETON,,"COLARELLI, NICHOLAS J., III",1,nan
63,102380571,5120435,assignment,1999-11-30,2000-01-07,1999-11-19,BUSINESS LOAN CENTER,NEW YORK,,"FINK, RONALD G.",1,nan
64,65140373,5229265,assignment,1993-03-15,2007-06-25,1993-03-12,LITRON LABORATORIES,ROCHESTER,,"TOMETSKO, ANDREW M.",1,nan
65,226100834,5474824,security,2009-04-27,2009-04-30,2009-03-06,RBS CITIZEN NATIONAL ASSOCIATION,MANCHESTER,,ATRIUM MEDICAL CORPORATION,1,nan
66,81210203,5554519,assignment,1996-08-15,1999-08-02,1996-06-25,"FERMALOGIC, INC.",CHICAGO,,"WEBER, J. MARK",1,nan
67,83210096,5618711,assignment,1997-01-27,2002-03-08,1997-01-08,"ROCHE MOLECULAR SYSTEMS, INC.",BRANCHBURG,,HOFFMANN-LA ROCHE INC.,1,nan
68,83210096,5789224,assignment,1997-01-27,2002-03-08,1997-01-08,"ROCHE MOLECULAR SYSTEMS, INC.",BRANCHBURG,,HOFFMANN-LA ROCHE INC.,1,nan
69,78220268,5714320,assignment,1995-06-22,1998-01-31,1995-03-27,"ROCHESTER, UNIVERSITY OF",ROCHESTER,,"KOOL, ERIC T.",1,nan
70,79040943,5655677,assignment,1996-02-22,1997-08-09,1996-02-09,TRANSLOGIC CORPORATION,DENVER,,"FRATELLO, DANIEL A.",1,nan
71,194070027,5413264,assignment,2007-06-01,2007-07-31,2007-05-20,"REELEX PACKAGING SOLUTIONS, INC.",PATTERSON,,"WINDINGS, INC.",1,nan
72,83840599,5728159,assignment,1997-01-02,1999-08-02,1996-12-31,MUSCULOSKELETAL TRANSPLANT FOUNDATION,HOLMDEL,,"STROEVER, BRUCE W.",1,nan
73,89110686,5818630,assignment,1998-01-13,1999-08-02,1998-01-08,"IMRA AMERICA, INC.",ANN ARBOR,,"FERMANN, MARTIN E.",1,nan
74,86780574,5791339,assignment,1997-08-11,1998-08-10,1997-06-09,NELLCOR PURITAN BENNETT INCORPORATED,PLEASANTON,,"WINTER, DAVID P.",1,nan
75,83840876,5747392,assignment,1997-03-03,1999-08-02,1996-08-05,HI TEX INC.,FARMINGTON HILLS,,"XIAO, HAN XIONG",1,nan
76,60720951,5129149,assignment,1992-04-10,1992-05-21,1992-04-01,HUNTER ENGINEERING COMPANY A MO CORPORATION,BRIDGETON,,"COLARELLI, NICHOLAS J., III",1,nan
77,170450343,5257996,security,2005-02-03,2006-04-11,2004-04-12,"WELLS FARGO BANK, N.A.",ANCHORAGE,,"MGGUIRE, DAVID A.",1,nan
78,63550597,5369974,assignment,1992-12-10,2007-07-23,1992-12-04,HUNTER ENGINEERING COMPANY,BRIDGETON,,"TSYMBEROV, ANATOLY",1,nan
79,94900672,5627360,assignment,1998-10-09,1999-08-17,1998-09-02,INTERMEC IP CORPORATION,BEVERLY HILLS,,INTERMEC TECHNOLOGIES CORPORATION,1,nan
80,59910691,5268289,assignment,1991-12-27,1992-03-18,1991-12-27,EPICENTRE TECHNOLOGIES CORPORATION,MADISON,,"DAHL, GARY A.",1,nan
81,68870593,5459055,assignment,1994-03-04,2008-02-05,1994-02-23,EPICENTRE TECHNOLOGIES CORPORATION,MADISON,,"JENDRISAK, JEROME J.",1,nan
82,66480682,5505769,assignment,1993-08-02,1996-07-23,1993-07-23,MUNTERS CORPORATION,AMESBURY,,"DINNAGE, PAUL A.",1,nan
83,186060748,5336263,assignment,2006-12-11,2006-12-11,1993-11-30,"UROPLASTY, INC.",MINNETONKA,,"BEISANG, ARTHUR A.",1,nan
84,86090358,5782769,assignment,1997-06-12,1999-08-02,1997-06-09,ADVANCED TECHNOLOGIES LABORATORIES,BOTHELL,,"HWANG, JUIN-JET",1,nan
85,76430780,5590659,assignment,1995-07-17,1997-01-04,1995-06-22,INTRAVASCULAR RESEARCH LIMITED,LONDON,,"HAMILTON, ROBIN",1,UNITED KINGDOM
86,87470353,5880283,assignment,1997-10-06,1999-03-07,1997-06-11,"KYORIN PHARMACEUTICAL CO., LTD.",TOKYO 101,,"MATSUMOTO, TOYOMI",1,JAPAN
87,83790395,5954627,assignment,1997-03-03,1999-10-14,1996-11-06,ATOM MEDICAL CORPORATION,TOKYO,,"SEKINE, MISAO",1,JAPAN
88,97080987,5947387,assignment,1999-01-26,1999-10-14,1999-01-13,"STONEAGE, INC.",DURANGO,,"ZINK, GERALD P.",1,nan
89,243420610,6127678,namechg,2010-05-06,2010-05-07,2009-03-31,DATAMAX-O'NEIL CORPORATION,ORLANDO,,DATAMAX CORPORATION,1,nan
90,85880496,5841648,assignment,1997-05-29,1999-08-02,1997-05-29,"MICRO MOTION, INC.",BOULDER,,"MANSFIELD, WILLIAM M.",1,nan
91,107000280,6064927,assignment,2000-03-13,2000-06-28,2000-03-01,HUNTER ENGINEERING COMPANY,BRIDGETON,,"MOLBACH, STEVEN K.",1,nan
92,88590453,5890106,assignment,1997-12-19,1999-03-26,1997-12-14,DOLBY LABORATORIES LICENSING CORPORATION,SAN FRANCISCO,,"BOSI-GOLDBERG, MARINA",1,nan
93,91850717,6029495,assignment,1998-05-19,2000-03-03,1998-04-27,SHIMADZU CORPORATION,KYOTO 604-8511,,"MUNETAKA, KEISUKE",1,JAPAN
94,138870928,5870315,assignment,2003-04-01,2003-08-25,1996-05-22,HUNTER ENGINEERING COMPANY,BRIDGETON,,"JANUARY, DANIEL B.",1,nan
95,84110013,6064750,assignment,1997-03-17,2000-05-30,1997-03-11,HUNTER ENGINEERING COMPANY,BRIDGETON,,JANUARY DANIEL B.,1,nan
96,83790411,5982937,assignment,1996-12-24,2000-01-07,1996-12-20,"ELECTRONICS FOR IMAGING, INC.",SAN MATEO,,"ACCAD, YIGAL",1,nan
97,263930129,6109572,merger,2011-06-03,2014-04-29,2011-04-08,NOVARTIS AG,BASEL,,"ALCON, INC (F/K/A ALCON UNIVERSAL LTD.)",1,SWITZERLAND
98,86320861,5856173,assignment,1997-05-27,1999-08-02,1997-05-21,EMERSON ELECTRIC CO.,RACINE,,"RILEY, WAYNE C.",1,nan
99,89040354,5970077,assignment,1997-12-05,1999-10-14,1997-12-03,ZYGO CORPORATION,MIDDLEFIELD,,"HILL, HENRY ALLEN",1,nan
100,88060758,5917844,assignment,1997-10-30,1999-06-25,1997-10-28,ZYGO CORPORATION,MIDDLEFIELD,,"HILL, HENRY ALLEN",1,nan
101,95970243,6054098,assignment,1998-11-16,2000-04-13,1998-10-09,"HORIBA, LTD.","KISSYOIN, MINAMI-KU, KYOTO",,"KATO, JUNJI",1,JAPAN
102,99170932,6086660,assignment,1999-04-26,2000-06-28,1999-03-29,SEIKO EPSON CORPORATION,"SUWA-SHI, NAGANO",,"MUKAIYAMA, KEIICHI",1,JAPAN
103,430160520,5976122,assignment,2017-06-27,2017-10-24,2010-02-19,"INTUITIVE SURGICAL OPERATIONS, INC.",SUNNYVALE,,"INTUITIVE SURGICAL, INC.",1,nan
104,88840158,5980491,assignment,1998-01-12,2000-01-07,1997-08-08,NOVO NORDISK A/S,DK-2880 BAGSVAERD,,"HANSEN, NIELS-AAGE",1,DENMARK
105,86400710,5898544,assignment,1997-06-13,1999-04-23,1997-06-12,HUTCHINSON TECHNOLOGY INCORPORATED,HUTCHINSON,,"KRINKE, TODD A.",1,nan
106,93830400,6018227,assignment,1998-08-07,2000-03-03,1998-07-24,STRYKER CORPORATION,KALAMAZOO,,"KUMAR, YASHDEEP",1,nan
107,185050868,6146356,namechg,2006-11-06,2017-10-24,2005-01-01,"BOSTON SCIENTIFIC SCIMED, INC.",MAPLE GROVE,,"SCIMED LIFE SYSTEMS, INC.",1,nan
108,95850562,6106778,assignment,1998-10-29,2000-09-05,1998-09-28,"HORIBA, LTD.",KYOTO,,"OKU, NARIHIRO",1,JAPAN
109,99150187,5979230,assignment,1999-04-19,2000-01-07,1999-04-12,HUNTER ENGINEERING COMPANY,BRIDGETON,,"BALSAROTTI, STEVEN C.",1,nan
110,107350207,6085994,assignment,2000-04-10,2000-06-28,2000-02-29,"STONEAGE, INC.",DURANGO,,"ZINK, GERALD P.",1,nan
111,85480226,5888464,assignment,1997-05-20,1999-03-26,1997-04-07,ENGELHARD CORPORATION,ISELIN,,"STEGER, JOHN J.",1,nan
112,89800937,5895636,assignment,1998-02-17,1999-04-16,1998-02-02,ENGELHARD CORPORATION,ISELIN,,"NGUYEN, PASCALINE H.",1,nan
113,92170629,6110862,assignment,1998-05-18,2000-09-05,1998-05-07,ENGELHARD CORPORATION,ISELIN,,"CHEN, SHAU-LIN F.",1,nan
114,76980117,5919425,assignment,1995-09-21,1999-07-02,1995-09-20,ENGELHARD CORPORATION,ISELIN,,"NGUYEN, PASCALINE H.",1,nan
115,74250170,5855560,assignment,1995-03-31,2007-03-05,1995-03-27,"EP TECHNOLOGIES, INC.",SUNNYVALE,,"IDAOMI, MICHAEL",1,nan
116,88830389,6110362,assignment,1997-11-19,2000-09-05,1997-11-17,"COHESIVE TECHNOLOGIES, INC.",FRANKLIN,,"QUINN, HUBERT M.",1,nan
117,79130073,6133740,assignment,1996-01-30,2000-10-02,1996-01-25,"VALCO INSTRUMENT CO., INC.",HOUSTON,,"WENTWORTH, WAYNE E.",1,nan
118,86610375,5929344,assignment,1997-07-28,2002-03-08,1997-07-28,"MIRCO MOTION, INC.",BOULDER,,"HAYS, PAUL J.",1,nan
119,85420831,6096880,assignment,1997-05-27,2000-09-05,1997-05-09,"ROCHESTER, UNIVERSITY OF",ROCHESTER,,"KOOL, ERIC T.",1,nan
120,98630386,5988920,assignment,1999-03-29,2000-01-07,1999-03-11,"PROCTER & GAMBLE COMPANY, THE",CINCINNATI,,"KUNKLER, JEFFERY SCOTT",1,nan
121,72540230,6044644,assignment,1994-12-22,2007-02-09,1994-12-06,ENGELHARD CORPORATION,ISELIN,,"HU, ZHICHENG",1,nan
122,134290771,6141120,assignment,2002-10-30,2003-02-24,2001-07-17,"ELECTRONICS FOR IMAGING, INC.",FOSTER CITY,,SPLASH TECHNOLOGY,1,nan
123,86680778,6003848,assignment,1997-07-01,2000-01-07,1997-06-16,"DIEBOLT INTERNATIONAL, INC.",PLYMOUTH,,"COTTER, JONATHAN P.",1,nan
124,85960413,6043590,assignment,1997-07-11,2000-04-13,1997-04-15,"ADVANCED TECHNOLOGIES LABORATORIES, INC.",BOTHELL,,"GILMORE, JAMES MICHAEL",1,nan
125,93730598,6031000,assignment,1998-08-11,2000-03-03,1998-07-30,"IOWA STATE UNIVERSITY RESEARCH FOUNDATION, INC.",AMES,,"NISSEN, STEVEN L.",1,nan
126,98930943,5919766,assignment,1999-04-09,1999-08-17,1999-03-15,GENETICS INSTITUTE INC.,CAMBRIDGE,,PHARMACIA & UPJOHN AKTIEBOLAG,1,nan
127,122630572,6025538,assignment,2001-10-18,2002-01-30,2001-08-13,MUSCULOSKELETAL TRANSPLANT FOUNDATION,EDISON,,"YACCARINO, III JOSEPH A.",1,nan
128,79960022,5914708,assignment,1996-06-06,1999-06-18,1996-05-21,CIRQUE CORPORATION,SALT LAKE CITY,,"LAGRANGE, GEORGE W.",1,nan
129,93530816,6119148,assignment,1998-07-29,2000-09-05,1998-07-24,"ATEN INTERNATIONAL CO., LTD.",TAIPEI,,"CHEN, SUN CHUNG",1,TAIWAN
130,92990211,5874259,correct,1998-03-30,1999-02-19,1998-01-02,WISCONSIN ALUMNI RESEARCH FOUNDATION,MADISON,,"SZYBALSKI, WACLAW",1,nan
131,96800416,6031750,assignment,1998-12-22,2000-03-03,1998-11-04,"LEVITON MANUFACTURING CO., INC.",LITTLE NECK,,"BRUCCOLERI, DAMON F.",1,nan
132,98990187,6098798,assignment,1999-04-12,2000-09-05,1999-04-01,"PASS & SEYMOUR, INC.",SOLVAY,,ABBOTT BRIAN,1,nan
133,94370331,5969265,assignment,1998-08-31,1999-10-14,1998-08-28,"MICRO MOTION, INC.",BOULDER,,"VANCLEVE, CRAIG BRAINERD",1,nan
134,99300222,6077434,assignment,1999-04-26,2000-06-14,1999-04-09,DIONEX CORPORATION,SUNNYVALE,,"SRINIVASAN, KANNAN",1,nan
135,94670168,6006329,assignment,1998-08-11,2000-01-07,1997-08-08,SYMANTEC CORPORATION,CUPERTINO,,"CHI, DARREN",1,nan
136,97470198,6015781,assignment,1999-02-08,2000-01-07,1998-10-05,"PROCTER & GAMBLE COMPANY, THE",CINCINNATI,,"VINSON, PHILLIP KYLE",1,nan
137,80840380,6021352,assignment,1996-06-26,2000-03-03,1996-06-19,"MEDTRONIC, INC.",MINNEAPOLIS,,"CHRISTOPHERSON, MARK",1,nan
138,367880591,5854074,assignment,2015-10-14,2015-10-15,2003-01-01,BAYER HEALTHCARE LLC,WHIPPANY,,BAYER CORPORATION,1,nan
139,94090886,5954235,assignment,1998-08-20,1999-10-14,1998-08-20,"LANCER PARTNERSHIP, LTD.",SAN ANTONIO,,"CLOUD, CRAIG",1,nan
140,91170147,5853416,assignment,1997-06-04,1999-08-17,1997-06-03,BOSTON SCIENTIFIC CORPORATION,NATICK,,"TOLKOFF, MARC J.",1,nan
141,96790216,6059798,assignment,1998-12-23,2000-04-28,1997-06-03,BOSTON SCIENTIFIC CORPORATION,NATICK,,"TOLKOFF, MARC JOSHUA",1,nan
142,83550263,5845235,assignment,1996-12-18,1999-08-02,1996-12-02,SUUNTO OY,ESPOO,,"LUUKKANEN, JARMO",1,FINLAND
143,86820447,5921952,assignment,1997-08-14,2002-03-08,1997-08-08,BOSTON SCIENTIFIC CORPORATION,NATICK,,"DESMOND, JOSEPH P., III.",1,nan
144,80390232,5915981,assignment,1996-06-17,1999-06-25,1996-06-01,"PASS & SEYMOUR, INC.",SYRACUSE,,"MEHTA, PARAG J.",1,nan
145,96690500,6120262,assignment,1998-12-30,2000-09-05,1998-11-25,EMERSON ELECTRIC CO.,ST. LOUIS,,"MCDONOUGH, WILLIAM B.",1,nan
146,98070930,6133645,assignment,1999-03-05,2000-10-02,1999-02-19,AUDIOVOX SPECIALIZED APPLICATIONS,ELKHART,,"SCRIBNER, PAUL",1,nan
147,78870625,6067410,assignment,1996-02-09,2000-05-30,1996-02-08,SYMANTEC CORPORATION,CUPERTINO,,"NACHENBERG, CAREY",1,nan
148,92490967,6041815,assignment,1998-06-12,2000-04-13,1998-05-13,"EMERSON ELECTRIC CO., INC.",ST. LOUIS,,"NICHOLS, JIMMY BROOKS",1,nan
149,88790621,6109979,assignment,1997-10-31,2000-09-05,1997-10-30,"MICRO MOTION, INC.",BOULDER,,"GARNETT, ROBERT BARCLAY",1,nan
150,93580056,5976362,assignment,1998-07-28,2000-01-07,1998-03-18,CLOROX COMPANY. THE,OAKLAND,,"WADSWORTH, JOHN",1,nan
151,102470028,5846068,assignment,1999-09-21,2000-01-07,1999-08-19,"JOHN ZINK COMPANY, LLC",TULSA,,"JOHN ZINK CO., DIV OF KOCH ENG. CO., INC, A KANSAS CORPORATION",1,nan
152,89930273,5920444,assignment,1998-01-07,1999-07-02,1998-01-06,HUTCHINSON TECHNOLOGY INCORPORATED,HUTCHINSON,,"HEEREN, THOMAS F.",1,nan
153,84160515,5971912,assignment,1997-01-23,1999-10-14,1996-12-05,ATOM MEDICAL CORPORAITON,"BUNKYO-KU, TOKYO",,"HONMA, NAOKI",1,JAPAN
154,94330881,6007006,assignment,1998-09-08,2000-01-07,1998-07-14,EMERSON ELECTRIC CO.,ST. LOUIS,,"ENGEL, LISA M.",1,nan
155,85710534,6093378,assignment,1997-06-23,2000-07-07,1997-05-06,ENGLEHARD CORPORATION,ISELIN,,"DEEBA, MICHEL",1,nan
156,88650833,5903872,assignment,1997-10-17,1999-05-07,1997-10-16,DOLBY LABORATORIES LICENSING CORPORATION,SAN FRANCISCO,,"FIELDER, LOUIS DUNN",1,nan
157,88580668,5913191,assignment,1997-10-17,1999-06-11,1997-10-16,DOLBY LABORATORIES LICENSING CORPORATION,SAN FRANCISCO,,"FIELDER, LOUIS DUNN",1,nan
158,88570709,6124895,assignment,1997-10-17,2000-09-15,1997-10-16,DOLBY LABORATORIES LICENSING CORPORATION,SAN FRANCISCO,,"FIELDER, LOUIS DUNN",1,nan
159,90760838,6006584,assignment,1998-03-26,2000-01-07,1998-03-10,SHIMADZU CORPORATION,KYOTO 604-8511,,"ITOI, HIROTO",1,JAPAN
160,91000005,5952556,assignment,1998-04-14,1999-10-14,1998-04-06,SHIMADZU CORPORATION,"NAKAGYO-KU, KYOTO 604",,"SHOJI, MASANAO",1,JAPAN
