rf_id,ee_name,ee_address_1,ee_address_2,ee_city,ee_state,ee_postcode,ee_country
75130817,T/R SYSTEMS,,6145A NORTHBELT PARKWAY,NORCROSS,GEORGIA,30071,
75970269,BOSTON SCIENTIFIC CORPORATION,,ONE BOSTON SCIENTIFIC PLACE,NATICK,MASSACHUSETTS,01760,
76060941,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,,17 QUINCY STREET,CAMBRIDGE,MASSACHUSETTS,02139,
76060996,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",,"300 LAKESIDE DRIVE, 22ND FLOOR",OAKLAND,CALIFORNIA,94612,
76250667,HOWARD HUGHES MEDICAL INSTITUTE,,4000 JONES BRIDGE ROAD,CHEVY CHASE,MARYLAND,20815,
77110810,"COMDISCO, INC.",LEGAL DEPARTMENT,6111 N. RIVER ROAD,ROSEMONT,ILLINOIS,60018,
77370789,ARTANN CORPORATION DBA ARTANN LABORATORIES,,138 HARDENBURG LANE,EAST BRUNSWICK,NEW JERSEY,08816,
77540808,STAC ELECTRONICS,SUITE 400,12636 HIGH BLUFF DRIVE,SAN DIEGO,CALIFORNIA,92130,
77580926,PERRY EQUIPMENT CORPORATION,,P.O. BOX 640,MINERAL WELLS,TEXAS,76068,
77610826,"ELECTROSCOPE, INC.",,4890 STERLING DRIVE,BOULDER,COLORADO,80301,
77830045,"NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY, UNITED STATES OF DEPARTMENT OF COMMERCE",,,GAITHERSBURG,MARYLAND,20899,
78510629,"HILL-ROM, INC.",,1069 STATE ROUTE 46 EAST,BATESVILLE,INDIANA,47006,
78570188,"GOVERNMENT OF THE UNITED STATES AS REPRESENTED BY THE SECRETARY OF THE THROUGHOUT THE UNITED STATES, ITS TERRITORIES POSSESSIONS AND PUERTO RICO, THE",,,WASHINGTON,DISTRICT OF COLUMBIA,,
79850957,BAYER CORPORATION,,P.O. BOX 40,ELKHART,INDIANA,46515,
79910247,"UNION BANK OF CALIFORNIA, N.A.",LEGAL AND GOVERNMENT RELATIONS DIVISION,350 CALIFORNIA STREET,SAN FRANCISCO,CALIFORNIA,94104,
79910956,"CARDIOVASCULAR DYNAMICS, INC.",SUITE 140,13844 ALTON PARKWAY,IRVINE,CALIFORNIA,92718,
79980260,"HILL-ROM, INC.",,1069 STATE ROUTE 46 EAST,BATESVILLE,INDIANA,47006,
80790621,"ACT MEDICAL, INC.",,100 BEAVER STREET,WALTHAM,MASSACHUSETTS,02154,
81220691,WARNER-LAMBERT COMPANY,LEGAL DEPARTMENT,201 TABOR ROAD,MORRIS PLAINS,NEW JERSEY,07950,
81220936,ALLELIX BIOPHARMACEUTICALS INC.,,6850 GOREWAY DRIVE,"MISSISSAUGA, ONTARIO",,,CANADA
81270938,"ELECTROSCOPE, INC.",,4890 STERLING DRIVE,BOULDER,COLORADO,80301,
81280097,ALLERGAN,,8301 MARS DRIVE,WACO,TEXAS,76712,
81370948,"ELECTROSCOPE, INC.",,4828 STERLING DRIVE,BOULDER,COLORADO,80301,
81560724,"VENTURE LENDING, A DIVISION OF CUPERTINO NATIONAL BANK & TRUST",SUITE 150,3 PALO ALTO SQUARE,PALO ALTO,CALIFORNIA,94306,
81560852,"VENTURE LENDING, A DIVISION OF CUPERTINO NATIONAL BANK & TRUST",,"3 PALO ALTO SQUARE, SUITE 150",PALO ALTO,CALIFORNIA,94306,
81560861,"VENTURE LENDING, A DIVISION OF CUPERTINO NATIONAL BANK & TRUST",,"3 PALO ALTO SQUARE, SUITE 150",PALO ALTO,CALIFORNIA,94306,
81790675,LUCENT TECHNOLOGIES INC.,P. O. BOX 636,600 MOUNTAIN AVENUE,MURRAY HILL,NEW JERSEY,07974,
81820909,BAYER CORPORATION,,P.O. BOX 40,ELKHART,INDIANA,46515,
82000846,"TAKARA SHUZO CO., LTD.","REPRESENTATIVE, HISASHI OHMIYA","609, TAKENAKA-CHO, FUSHIMI-KU, KYOTO-SHI",KYOTO-FU 612,,,JAPAN
82080222,"LACE EFFECT, INC.",,5561 ENGINEER DRIVE,HUNTINGTON BEACH,CALIFORNIA,92649,
82080224,"LACE EFFECT, LLC",,5561 ENGINEER DRIVE,HUNTINGTON BEACH,CALIFORNIA,92649,
82150367,"ARMED, L.L.C.",OLD ROCKY RIDGE ROAD,SUITE 119,BIRMINGHAM,ALABAMA,35243,
82160932,"ARMED, L.L.C.",2870 OLD ROCKY RIDGE ROAD,SUITE 119,BIRMINGHAM,ALABAMA,35243,
82290313,"LUCENT TECHNOLOGIES, INC.",P.O. BOX 636,600 MOUNTAIN AVENUE,MURRAY HILL,NEW JERSEY,07974,
82470088,"OPTICAL MIRCO SYSTEMS, INC., A WHOLLY-OWNED SUBSIDIARY OF ALLERGAN, INC.",,2525 DUPONT DRIVE,IRVINE,CALIFORNIA,92715,
82590789,"RAYA SYSTEMS, INC.",SUITE 520,2570 WEST EL CAMINO,MOUNTAIN VIEW,CALIFORNIA,94040,
82670067,"KWIKEE PRODUCTS CO., INC.",,230 DAVIDSON AVENUE,COTTAGE GROVE,OREGON,97424,
82680894,"BECTON, DICKINSON AND COMPANY",PATENT AND LICENSING DEPARTMENT,1 BECTON DRIVE,FRANKLIN LAKES,NEW JERSEY,07417,
82840505,"HILL-ROM COMPANY, INC.",,1069 STATE ROUTE 46E,BATESVILLE,INDIANA,47006,
83210008,"GERSHONY, GARY",,44332 SOUTH EL MARCERO DRIVE,EL MARCERO,CALIFORNIA,95618,
83210096,"ROCHE MOLECULAR SYSTEMS, INC.",,1080 U.S. HIGHWAY 202,BRANCHBURG,NEW JERSEY,08876,
84010195,"VASCULAR SOLUTIONS, INC.",,127 THIRD AVENUE NORTH,MINNEAPOLIS,MINNESOTA,,
84440772,MDS HEALTH GROUP LIMMITED,,100 INTERNATIONAL BOULEVARD,"ETOBICOKE, ONTARIO",,M9W 6,CANADA
84470751,"NORWEST BANK MINNESOTA, NATIONAL ASSOCIATION",NORWEST CENTER,SIXTH STREET AND MARQUETTE AVENUE,MINNEAPOLIS,MINNESOTA,55479,
84490737,"COMMSCOPE, INC., A NORTH CAROLINA CORPORATION",,6519 COMMSCOPE ROAD,CATAWBA,NORTH CAROLINA,28609,
85020735,LUCENT TECHNOLOGIES INC.,P. O. BOX 636,600 MOUNTAIN AVENUE,MURRAY HILL,NEW JERSEY,07974,
85190919,"KIMBERLY-CLARK WORLDWIDE, INC.",,401 NORTH LAKE STREET,NEENAH,WISCONSIN,54956,
85530243,FIRST NATIONAL BANK,,1940 DEWEY,BUTTE,MONTANA,59701,
85790614,LAWRENCE M. SMITH & EMILY M. SMITH,,716 S.W. HIGHLAND #248,REDMOND,OREGON,97756,
85870230,ENGELHARD CORPORATION,P.O. BOX 770,101 WOOD AVENUE,ISELIN,NEW JERSEY,08830,
86030268,"AUBURN STEEL COMPANY, INC.",,25 QUARRY ROAD,AUBURN,NEW YORK,13021,
86120179,WISCONSIN ALUMNI RESEARCH FOUNDATION,,614 WALNUT STREET,MADISON,WISCONSIN,53705,
86350667,LUCENT TECHNOLOGIES INC.,P.O. BOX 636,600 MOUNTAIN AVENUE,MURRAY HILL,NEW JERSEY,07974,
86780863,ANR PIPELINE COMPANY,,"500 RENAISSANCE CENTER, 14TH FLOOR",DETROIT,MICHIGAN,48243,
86860390,NIPPON STEEL CORPORATION,,"6-3, OTEMACHI 2-CHOME, CHIYODA-KU",TOKYO-TO,,,JAPAN
86930841,ENGELHARD CORPORATION,P.O. BOX 770,101 WOOD AVENUE,ISELIN,NEW JERSEY,08830,
86990592,LUCENT TECHNOLOGIES INC.,P.O. BOX 636,600 MOUNTAIN AVENUE,MURRAY HILL,NEW JERSEY,07974,
87140638,"RITA MEDICAL SYSTEMS, INC.",,967 NORTH SHORELINE BLVD.,MOUNTAIN VIEW,CALIFORNIA,94043,
87160304,BOSTON SCIENTIFIC CORPORATION,,ONE BOSTON SCIENTIFIC PLACE,NATICK,MASSACHUSETTS,01760,
87310876,CENETRON DIAGNOSTICS LLC,,2170 WOODWARD STREET,AUSTIN,TEXAS,78744,
87580302,"QUEST MEDICAL, INC.",,ONE ALLENTOWN PARKWAY,ALLEN,TEXAS,75002,
87580308,"QUEST MEDICAL, INC.",,ONE ALLENTOWN PARKWAY,ALLEN,TEXAS,75002,
87710129,UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION,,UNIVERSITY OF KENTUCKY,LEXINGTON,KENTUCKY,40506,
87830346,"DIGITAL THEATER SYSTEMS, INC.",,"31336 VIA COLINAS, SUITE 101",WESTLAKE VILLAGE,CALIFORNIA,91362,
87940608,BASF CORPORATION,,3000 CONTINENTAL DRIVE NORTH,MT. OLIVE,NEW JERSEY,07828,
88010230,SPEGAS INDUSTRIES LTD.,,P.O. BOX 45025,JERUSALEM,,91450,ISRAEL
88310168,"SYRACUSE BIOANALYTICAL, INC.",,"LANGMUIR LABS, 95 BROWN ROAD",ITHACA,NEW YORK,14850,
88510388,ENGELHARD CORPORATION,P.O. BOX 770,101 WOOD AVENUE,ISELIN,NEW JERSEY,08830,
88760925,LOGIC ASSOCIATES INC.,,221 CHRISTIAN STREET,WHITE RIVER JUNCTION,VERMONT,05001,
88770020,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,,124 MT. AUBURN STREET,CAMBRIDGE,MASSACHUSETTS,02138,
88910316,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,,124 MT. AUBURN STREET,CAMBRIDGE,MASSACHUSETTS,02138,
89080963,ENGELHARD CORPORATION,P.O. BOX 770,101 WOOD AVENUE,ISELIN,NEW JERSEY,08830,
89200426,CHAMPION SPARK PLUG COMPANY,,"600 TRAVIS, SUITE 5800",HOUSTON,TEXAS,77002,
89200437,"COOPER AUTOMOTIVE PRODUCTS, INC.",,"600 TRAVIS, SUITE 5800",HOUSTON,TEXAS,77002,
89330198,"PORTEC RAIL PRODUCTS, INC.",900 FREEPORT ROAD,P.O. BOX 38250,PITTSBURGH,PENNSYLVANIA,15238,
89430119,DELAWARE CAPITAL FORMATION INC.,,"1403 FOULK ROAD, SUITE 102",WILMINGTON,DELAWARE,19803,
89620307,DOLBY LABORATORIES LICENSING CORPORATION,,100 POTRERO AVENUE,SAN FRANCISCO,CALIFORNIA,94103,
90110402,"INTUITIVE SURGICAL, INC.",,1340 WEST MIDDLEFIELD ROAD,MOUNTAIN VIEW,CALIFORNIA,94043,
90150395,"PCS WIRELESS, INC.",,1600 - 401 WEST GEORGIA STREET,VANCOUVER,,V6B 5,BRITISH COLUMBIA
90150938,"PCS WIRELESS, INC.",,1600 - 401 WEST GEORGIA STREET,VANCOUVER,,V6B 5,BRITISH COLUMBIA
90200535,WISCONSIN ALUMNI RESEARCH FOUNDATION,,614 WALNUT STREET,MADISON,WISCONSIN,53705,
90260569,"PCS WIRELESS, INC.",,1600-401 WEST GEORGIA STREET,"VANCOUVER, BC",,V6B 5,CANADA
90890068,NATIONAL SEMICONDUCTOR CORP,"INTELLECTUAL PROPERTY GROUP, M/S D3-579",2900 SEMICONDUCTOR DRIVE,SANTA CLARA,CALIFORNIA,95051,
90950763,NORTHERN TELECOM LIMITED,STATION A,P.O. BOX 6123,"MONTREAL, QUEBEC, H3C 3J5",,,CANADA
91580423,"ARMY, UNITED STATES AS REPRESENTED BY THE SECRETARY, THROUGHOUT THE UNITED STATES, ITS TERRITORIES, POSSESSIONS AND PUERTO RICO",VIROLOGY DIVISION,U.S. ARMY MEDICAL RESEARCH INSTITUTE OF INFECTIOUS DISEASES,"FORT DETRICK, FREDERICK",MARYLAND,21702,
91600777,"TEXAS, THE UNIVERSITY OF",,201 WEST SEVENTH STREET,AUSTIN,TEXAS,78701,
91670199,"LIFE TECHNOLOGIES, INC.",,9800 MEDICAL CENTER DRIVE,ROCKVILLE,MARYLAND,20850,
91680827,"KWIKEE PRODUCTS CO., INC.",,230 DAVIDSON AVENUE,COTTAGE GROVE,OREGON,99724,
92050001,"MINNESOTA MINING AND MANUFACTURING COMPANY, A CORP. OF DE",,3M CENTER,ST. PAUL,MINNESOTA,55144,
92450844,FOAMEX L.P.,,1000 COLUMBIA AVENUE,LINWOOD,PENNSYLVANIA,19061,
92790538,"KWIKEE PRODUCTS CO., INC.",,230 DAVIDSON AVENUE,COTTAGE GROVE,OREGON,99724,
93130932,"GIBLIN, JAMES A.",BAYER CORPORATION,"P.O. BOX 1986, 800 DWIGHT WAY",BERKELEY,CALIFORNIA,94701,
93190595,E. HELLER & CO.,,"1311 HARBOR BAY PARKWAY, SUITE 1000",ALAMEDA,CALIFORNIA,94502,
93720901,SPEGAS INDUSTRIES LTD.,,P.O. BOX 45025,JERUSALEM,,91450,ISRAEL
94070549,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",,"1111 FRANKLIN STREET, 12TH FLOOR",OAKLAND,CALIFORNIA,94607,
94330764,"DIEBOLD, INCORPORATED",,5995 MAYFAIR ROAD,NORTH CANTON,OHIO,44720,
94340049,"DIEBOLD, INCORPORATED",,5995 MAYFAIR ROAD,NORTH CANTON,OHIO,44720,
94580456,"CFV PRODUCTS, INC.",,,FORT LAUDERDALE,FLORIDA,,
94740576,"LINCOLN ELECTRIC COMPANY, THE",,22801 ST. CLAIR AVENUE,CLEVELAND,OHIO,44117,
94790194,"ROBBINS, III, EDWARD S.",,"RT. 7, BOX 322",FLORENCE,ALABAMA,,
94790196,"ROBBINS, EDWARD S., III",,"RT. 7, BOX 322",FLORENCE,ALABAMA,,
94900672,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
94900821,BESTT LIEBCO CORP.,ATTN: PRESIDENT,1201 JACKSON STREET,PHILADELPHIA,PENNSYLVANIA,19148,
94900933,"USA DIGITAL RADIO PARTNERS, L. P.",,8865 STANFORD BOULEVARD,COLUMBIA,MARYLAND,21045,
95030128,"JUMPSPORT, LLC",,18505 MARSHALL LANE,SARATOGA,CALIFORNIA,95070,
95030201,BATTELLE MEMORIAL INSTITUTE K1-53,INTELLECTUAL PROPERTY SERVICES,"902 BATTELLE BLVD., P.O. BOX 999",RICHLAND,WASHINGTON,99352,
95060026,INTERMEC IP CORP.,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060055,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060067,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060199,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060219,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060229,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060273,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060283,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060294,INTERMEC IP GROUP,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060313,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060397,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060442,INTERMEC IP CORP.,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060612,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95060638,INTERMEC IP CORPORATION,,360 CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95080850,INTERMEC IP CORP.,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95090171,INTERMEC IP CORP.,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95340280,INTERMEC IP CORP.,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95340540,INTERMEC IP CORP.,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95340647,INTERMEC IP CORP.,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
95800595,APPALOOSA MANAGEMENT L.P.,,"26 MAIN STREET, 1ST FLOOR",CHATHAM,NEW JERSEY,07928,
95860528,"DELAWARE CAPITAL FORMATION, INC.",,"1403 FOULK ROAD, SUITE 102",WILMINGTON,DELAWARE,19803,
95880665,MICROSOFT CORPORATION,,ONE MICROSOFT WAY,REDMOND,WASHINGTON,98052,
96040148,"PASS & SEYMOUR, INC.",,50 BOYD AVENUE,SOLVAY,NEW YORK,13209,
96050821,"HORIZON MEDICAL PRODUCTS, INC.","4200 NORTHSIDE PARKWAY, N.W.",SEVEN NORTH PARKWAY SQUARE,ATLANTA,GEORGIA,30327,
96050918,BESTT LIEBCO CORPORATION,THOMAS J. TEESDALE,1201 JACKSON STREET,PHILADELPHIA,PENNSYLVANIA,19148,
96510875,"PATMARK COMPANY, INC.",,"300 DELAWARE AVENUE, SUITE 530",WILMINGTON,DELAWARE,19801,
96700450,"UNOVA, INC.",A CORPORATION OF DELAWARE,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
96740523,"SCIMED LIFESYSTEMS, INC.",,ONE SCIMED PLACE,MAPLE GROVE,MINNESOTA,55311,
96770903,AMATECH CORPPORATION,,531 MAIN STREET,ACTON,MASSACHUSETTS,01720,
96870139,"TRAVEL CADDY, INC. D/B/A/ TRAVELON",,333 EAST TOUHY AVENUE,DES PLAINES,ILLINOIS,60018,
96880411,BOSTON SCIENTIFIC LIMITED,"P.O. BOX 111, BISHOP'S COURT HILL",FINANCIAL SERVICES CENTER,"ST. MICHAEL, WEST INDIES",,,BARBADOS
96890808,AMATECH CORPORATION,,531 MAIN STREET,ACTON,MASSACHUSETTS,01720,
96990913,"AVID TECHNOLOGY, INC.",,"METROPOLITAN TECHNOLOGY PARK, ONE PARK WEST",TEWKSBURY,MASSACHUSETTS,01876,
97030021,AMATECH CORPORATION,,531 MAIN STREET,ACTON,MASSACHUSETTS,01720,
97070464,INTERMEC IP CORP.,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
97070929,EMERSON ELECTRIC CO.,,8000 W. FLORISSANT AVENUE,ST. LOUIS,MISSOURI,63136,
97110133,NATIONSCREDIT COMMERCIAL CORPORATION,,187 DANBURY ROAD,WILTON,CONNECTICUT,06897,
97110458,"USA DIGITAL RADIO, INC.",,8865 STANFORD BLVD.,COLUMBIA,MARYLAND,21045,
97150104,"HILL-ROM COMPANY, INC.",,4349 CORPORATE ROAD,CHARLSTON,SOUTH CAROLINA,29405,
97280902,ENGELHARD CORPORATION,P.O. BOX 770,101 WOOD AVENUE,ISELIN,NEW JERSEY,08830,
97300414,ROCHE DIAGNOSTICS CORPORATION,,9115 HAGUE ROAD,INDIANAPOLIS,INDIANA,46250,
97310257,"ESCALON VASCULAR ACCESS, INC.",,351 EAST CONESTOGA ROAD,WAYNE,PENNSYLVANIA,19087,
97480781,THERMAL SCIENCES INC.,,"6110 LAMB RD, BLDG. 2",WYOMING,NEW YORK,14591,
97640534,"INTERMEC IP CORP., A CORPORATION OF DELAWARE",,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
97650209,NORAND CORPORATION,,550 SECOND STREET SE,CEDAR RAPIDS,IOWA,52401,
97650814,"COMMERCE, UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY, THE",NATIONAL INSTUTUTE OF STANDARDS AND TECHNOLOGY,14TH AND CONSTITUTION,WASHINGTON,DISTRICT OF COLUMBIA,20230,
97810191,STRYKER TECHNOLOGIES CORPORATION,2725 FAIRFIELD ROAD,,KALAMAZOO,MICHIGAN,40992,
97880010,BOEHRINGER MANNHEIM CORPORATION,AN INDIANA CORPORATION,"9115 HAGUE ROAD, P.O. BOX 50528",INDIANAPOLIS,INDIANA,46250,
98100446,EMERSON ELECTRIC COMPANY,,8000 W. FLORRISANT,ST. LOUIS,MISSOURI,63136,
98220546,DATASCOPE INVESTMENT CORP.,,14 PHILIPS PARKWAY,MONTVALE,NEW JERSEY,07645,
98320507,HEMASURE DENMARK A/S,,SAUNTESVEJ 13,GENTOFTE,,DK-28,DENMARK
98320660,BECTON DICKINSON AND COMPANY,INTELLECTUAL PROPERTY DEPT. MAIL CODE #089,1 BECTON DRIVE,FRANKLIN LAKES,NEW JERSEY,07417,
98330620,INTERMEC IP CORP.,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
98420529,"MATERIALS ENGINEERING AND DEVELOPMENT, INC.",,11150 BALTIMORE-PHILLIPSBURG ROAD,BROOKVILLE,OHIO,45309,
98580151,"PRECISION VASCULAR SYSTEMS, INC.",,360 WAKARA WAY,SALT LAKE CITY,UTAH,84108,
98660308,INTERMEC IP CORP,,360 NORTH CRESCENT DRIVE,BEVERLY HILLS,CALIFORNIA,90210,
98930943,GENETICS INSTITUTE INC.,,87 CAMBRIDGE PARK DRIVE,CAMBRIDGE,MASSACHUSETTS,02140,
99200349,OBJECTSWITCH CORPORATION,,"900 LARKSPUR LANDING CIRCLE, SUITE 270",LARKSPUR,CALIFORNIA,94939,
99340795,"AUTOMED TECHNOLOGIES, INC.",,900 ASBURY DRIVE,BUFFALO GROVE,ILLINOIS,60089,
99340795,"YUYAMA MFG. CO., LTD.",,"3-1, MEISHINGUCHI 3-CHOME","TOYONAKA-SHI, OSAKA-FU",,,JAPAN
99480483,NITINOL DEVELOPMENT CORPORATION,,"48501 WARM SPRINGS BLVD., SUITE 117",FREMONT,CALIFORNIA,94539,
99840690,STRYKER CORPORATION,,2725 FAIRFIELD ROAD,KALAMAZOO,MICHIGAN,49003,
99960895,"AUTOMATION, INC.",,10 KEARNEY ROAD,NEEDHAM,MASSACHUSETTS,02194,
100470318,ATRIUM MEDICAL CORPORATION,,5 WENTWORTH DRIVE,HUDSON,NEW HAMPSHIRE,03051,
100520462,"ACUMED, INC",SUITE 170,10950 S.W. 5TH STREET,BEAVERTON,OREGON,97005,
100530680,"MITSUBISHI ELECTIC INFORMATION TECHNOLOGY CENTER AMERICA, INC.",,201 BROADWAY,CAMBRIDGE,MASSACHUSETTS,02139,
100540439,"CURATORS OF THE UNIVERSITY OF MISSOURI, THE",,316 UNIVERSITY HALL,COLUMBIA,MISSOURI,65211,
