assignee_id,assignee_organization,assignee_type,assignee_lastknown_country,assignee_total_num_patents,assignee_total_num_inventors,nb_marked_patents,proportion_marked_patents
2c8f99fd-86bf-48f7-aa57-d8a55bf643f4,Scotfoam Corporation,2,US,6,7,1,0.167
2cb23822-8356-4727-a1b9-5a15e9dd0cf0,"Deutsche ITT Industries, GmbH",3,DE,170,100,2,0.012
2d581cc5-9324-4ca6-ad31-b5c6499c6868,Munters Corporation,2,US,65,60,8,0.123
2df34f6c-f453-49a2-91d4-54fb3df9e718,I-STAT Corporation,2,US,39,34,12,0.308
2fbdc785-6b47-4097-a2a2-429237656140,,4,US,4,9,1,0.25
3860ed0c-8e84-4bed-ba0b-9d7a57d3a6b9,FOAMEX L.P.,2,US,134,38,15,0.112
3a0b1bd3-8027-4087-bbce-4c1d06bf3ef3,DATASCOPE CORP.,2,US,118,99,17,0.144
3e30f779-123c-4fc0-a301-68d789f06db4,SCHNEIDER GMBH & CO. KG,3,DE,286,181,14,0.049
425cd741-4844-49f0-a1fa-546107d327f9,Gen-Probe Incorporated,2,US,621,288,55,0.089
4280df71-cbc3-428b-88d6-23af133d644d,"1149336 Ontario, Inc.",3,CA,25,7,1,0.04
42ba18a5-d1b0-417e-83d7-5837e3de6ace,Janssen Pharmaceutica NV,3,BE,1930,1577,1,0.001
46178a40-9455-43b5-ba2a-79ee616a48d2,UTAH MEDICAL PRODUCTS INC.,2,US,41,26,5,0.122
48b497e8-44f1-4e63-9e77-007cfb3707eb,"Multiform Desiccant Products, Inc.",2,US,3,2,1,0.333
4a0aa585-2524-4047-93c4-334ba7c65514,Creative Nail Design Inc.,2,US,25,19,10,0.4
4a141bee-b434-4886-92e5-af2f4c0e5962,"Portec Inc., RMP Division",2,US,4,8,1,0.25
4d5ff864-66c4-4d79-a080-e318117cb326,Mitel Corporation,3,CA,309,263,1,0.003
5330279e-a21e-438c-80d1-7e6ae793c092,"KISSEI PHARMACEUTICAL CO., LTD.",3,JP,170,190,1,0.006
54e3a942-20b3-46b0-a893-a0ab91c10fa9,"Magnetic Bearing Technologies, Inc.",2,US,8,4,1,0.125
5a5c2a76-de50-44d1-8c54-82e4c8fd253c,"Lucent Medical Systems, Inc.",2,US,9432,7321,17,0.002
614585b3-ae9b-4662-8d5d-acb52b19cffd,NORTH CAROLINA STATE UNIVERSITY,2,US,2066,2562,18,0.009
61d70774-275a-4151-8f4f-e33682efd989,Transonic Systems Inc.,2,US,39,20,11,0.282
6cbd7aee-d494-4a50-8884-ab4dc2c763de,"ELECTRONICS FOR IMAGING, INC.",2,US,373,229,70,0.188
7058c250-7265-46a1-97c1-65bf0e91da14,"SonoSight, Inc.",2,US,2,8,2,1.0
70f92611-e4dc-4733-a08b-13b1407af48f,"Electroscope, Inc.",2,US,5,9,4,0.8
75e5355d-37bc-47b3-84b1-755a0afbe59f,Richard Hirschmann GmbH,3,AT,18,32,1,0.056
76c6c844-7fb2-4fd9-8004-5476e1ce88fe,"Charles E. Hill & Associates, Inc.",2,US,21,4,4,0.19
78af7383-460c-44a1-9f4e-51fdb611b6f3,Pharmacia & Upjohn Company LLC,2,US,2865,1382,2,0.001
8287d724-9e9e-4ef6-a978-afc03a5f79ee,Engelhard Corporation,2,US,643,523,67,0.104
8327837f-3ac3-4a6c-9dc3-817e3b3adaed,,4,US,7,8,2,0.286
8ecdee7a-9197-4d8f-b317-3e1900ebfa15,Advanced Materials Technology,2,US,661,458,71,0.107
902f454b-75ad-44dc-9130-d935a05038e3,Institut National de la Santé et de la Recherche Médicale (INSERM),3,FR,851,2053,3,0.004
996d1179-2d0d-4a05-ac9f-32c3eb34fb69,"Hunter Industries, Inc.",2,US,555,252,125,0.225
9a3afa40-66e5-4921-b831-64287f2052e0,Novo Nordisk A\/S,3,US,1640,1609,56,0.034
9b151b06-9c12-4260-bb4e-87440d939bb1,AT&T Bell Laboratories,2,CN,3433,3693,1,0.0
9b30d6b4-5b41-428d-a87e-a44df8ff18fe,"Cornell Research Foundation, Inc.",2,US,1563,1664,9,0.006
9c914ee4-5b46-43fb-8fbe-48668f526d2a,ATRIUM MEDICAL CORPORATION,2,US,129,78,39,0.302
9cea700a-2f0d-4755-a5c8-32b49f1f3135,THE PERRY COMPANY,2,US,37,34,13,0.351
9e61ac5c-c105-4154-9132-977ab8669f55,"Splash Technology, Inc.",2,US,4,8,3,0.75
a33fa122-5e85-4566-89f4-d8b1f325d132,"ECCS, Inc.",2,US,8,6,1,0.125
a467fec6-886c-490f-82cd-6b90563b55be,"Spacelabs Medical, Inc.",2,US,106,88,6,0.057
a4b6ad31-f09b-40e8-a7c7-479f0bad9f0c,"L C Packings, Nederland B.V.",3,NLX,1,3,1,1.0
a598e7c9-455b-4da3-99e0-b2b9f4a0090d,"Management Graphics, Inc.",2,US,18,14,11,0.611
a847e25e-8ec0-461a-a7c0-5c05c969982e,Mikom GmbH,3,DEX,1,1,1,1.0
a924e85d-814e-4015-8659-90bb84360392,Norand Corporation,2,US,254,83,18,0.071
acb4c446-a93a-49e7-8f79-e59d69565a5b,"MetaCreations, Corp.",2,US,1,2,1,1.0
aefead8b-f669-48a7-8160-11150e8fdbca,"Andrew Technologies, LLC",2,US,731,517,53,0.073
ba14859e-591a-4e92-8e15-b58bb4833e0d,"Lace Effect, LLC",2,US,2,2,2,1.0
ba1a7d7a-6394-4f59-a009-18b32248fa74,"Marathon Systems, Inc.",2,US,84,90,14,0.167
bbd2207d-150b-4c60-b6f1-1cf493f9a825,Warner-Lambert Company LLC,2,US,2621,1688,9,0.003
bd890bbd-1ed5-4bf6-9b52-d9a47d9bb4aa,"ZoMed International, Inc.",2,US,8,7,3,0.375
c4ac7cfd-df01-4077-a80a-ce75f6a268bb,ADVANCED MEDICAL SOLUTIONS LIMITED,3,GB,495,553,2,0.004
c5991c13-bc9e-417a-bc3c-77b4ad064ca3,Boehringer Mannheim GmbH,3,DE,1184,1226,5,0.004
c641d236-0a0f-4877-ab23-b679de32406f,McGhan Medical Corporation,2,US,15,17,1,0.067
c7aa90ce-7b9e-4930-9241-be9410544d93,"INTUITIVE SURGICAL, INC.",2,US,121,87,47,0.388
c7d21d98-3386-4d1a-b225-63a4c49dfbb6,Thermo Finnigan LLC,2,US,396,210,73,0.184
c884ef9c-782a-4965-9317-86ea5656ff65,"CK Industries, LLC",2,unknown,411,335,1,0.002
caa2be79-3a64-44c0-95cd-94f3bb9de128,"Windings, Inc.",2,US,31,20,10,0.323
cbc06cfb-edb8-4df9-bcd3-4a205a3d584f,"Actodyne General, Inc.",2,US,19,9,1,0.053
cd4fae3e-d2c9-41a6-a31a-53d8bbe313a6,Medical Graphics Corporation,2,US,25,30,1,0.04
ce9b2f65-234e-40b1-95ad-f6ee0c89a5c8,INTERMEC IP CORPORATION,2,US,740,467,178,0.241
d43b03b7-839c-4ea6-9e2d-b7a66a9b07ac,Cohesive Systems LLC,2,US,25,12,6,0.24
d47164ea-ff9c-4b7f-b895-027344031189,"SAGE ELECTROCHROMICS, INC.",2,US,65,57,5,0.077
d9327852-5c59-4c68-9435-7b12c89fbff3,"Hand Held Products, Inc.",2,US,1031,540,73,0.071
dc3c7a48-f9d2-46ca-9dbe-ec28502d6e74,"Scimed Life Systems, Inc.",2,US,1823,1170,55,0.03
dc73969f-f12c-4957-ad3c-e28e93c64f3d,Regents of the University of Minnesota,2,US,1777,2342,8,0.005
e5fc32c3-a913-455a-94ce-9932d30eefff,"Hill-Rom Services, Inc.",2,US,1325,780,338,0.255
e6d56ef1-9c05-4035-85e2-f10b5225c7d4,Avery Dennison Corporation,2,US,1350,944,23,0.017
e899239c-3d2a-48a0-90b2-156806f8356e,BAYER AKTIENGESELLSCHAFT,3,DE,13578,8117,29,0.002
ebbca3e0-2df5-4eeb-bc81-604eac1d41e7,AMGEN INC.,2,US,1497,1717,40,0.027
ec72750e-f789-4749-91f7-6292f7c6fda7,"Schwartz Electro-Optics, Inc.",2,US,17,15,7,0.412
ecb003f8-9899-424e-919c-b2682c95adf3,Entreprise T.R.A. (2011) Inc.,3,DE,34,28,15,0.441
ed1591bb-b2a5-485c-80f0-a1dc7c2285d9,Hydra-Slide Corporation,2,US,1,1,1,1.0
f3ec11d3-0e65-4059-845a-65415e69f9e0,Vaughn Manufacturing Corporation,2,US,6,9,1,0.167
f444fcad-328b-4269-98fa-6c5dd85672b0,Packaging Corporation of America,2,US,152,127,1,0.007
f7152515-d420-42d9-a7b6-3a2796bc5d10,Yamaha Corporation,3,JP,5023,1883,1,0.0
f8c3e4ad-3a12-4ef7-aa1a-a01f76d65bca,Linvatec Corporation,2,US,207,157,3,0.014
f9cf41b1-d6f1-4df6-a7cd-42d97ee9552c,The United States of America as represented by the Secretary of the Army,6,US,8245,7701,1,0.0
fa543ac8-5ee8-4999-b949-6c8a3dbae65d,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2,US,12504,14990,20,0.002
fab52a19-d63d-4055-9723-d03ef632e119,"Angiogenesis Technologies, Inc.",3,CA,2,3,1,0.5
0058f93a-9410-473a-ac27-e5731fd74b98,Fixano,3,FR,5,13,1,0.2
00f2c5da-2541-4f2d-b86a-5f1973998b5e,"MINNESOTA MEDICAL DEVELOPMENT, INC.",2,US,7885,5171,2,0.0
019b9aba-95cd-43bf-a8a5-e700229fddac,DATAMAX-O'NEIL CORPORATION,2,US,130,86,31,0.238
03b50113-89c4-4c64-8d8c-435bbecd8c93,"Bestt Rollr, Inc.",2,US,2,2,1,0.5
05621156-45c5-47c3-8c76-c0c63bf3097f,"Health Hero Network, Inc.",2,US,145,14,7,0.048
059476de-44c9-4837-866c-d14ec93e1418,ATOM MEDICAL CORPORATION,3,JP,72,48,14,0.194
07d5e983-c359-45e8-ac9a-45c2def520ad,"Date-Ohmeda, Inc.",2,US,91,115,3,0.033
11e6a58c-e817-4e21-b10b-c90596070afe,"Widings, Inc.",2,US,1,2,1,1.0
11f5ed70-6f89-496b-972c-de63270affb0,"Gatekeeper Systems, Inc.",2,US,72,32,18,0.25
12bf762c-4255-4bdf-9409-adcc36345c8f,ALCON UNIVERSAL LTD.,2,CH,71,80,9,0.127
1497e878-752e-48e1-9716-a19e15832aff,Mead Products LLC,2,US,1160,559,1,0.001
14f2dd48-6bbe-4eca-860f-0fab3d62e56a,Acumed LLC,2,US,86,57,8,0.093
17b3b13f-0906-48a5-ac6e-adf2f52dfe03,"Multiform Desiccants, Inc.",2,US,40,15,6,0.15
1c842b27-32f8-44a5-9f3a-7f62768bed9a,"Suport Systems, International",2,US,1,3,1,1.0
1f5ec45d-f957-44fc-b861-44f57aa58cce,"Omniplanar, Inc",2,US,11,3,1,0.091
23612d22-58ff-4b6d-9636-6d3b2844a27c,UNIVERSITY OF ROCHESTER,2,US,806,1024,5,0.006
23c8c903-94ef-4039-83ca-a289ff0fc756,"First Data Resources, Inc.",2,US,24,12,1,0.042
23ce9bf7-6a48-438b-8cdd-d88ef3a991d3,Stratagene,2,US,92,47,1,0.011
2613f998-8dd2-42ff-986a-49be263d3586,"Kyorin Pharmaceutical Co., Ltd.",3,JP,180,242,2,0.011
2de144ca-dd7f-457a-b3db-145b1189d9e6,"IDEXX Laboratories, Inc.",2,US,216,189,60,0.278
2dedb3af-0143-4bf5-902e-5209aa7bf952,"Del Mar Avionics, Inc.",2,US,53,39,1,0.019
2f429723-786c-4514-93f7-fd1637d219e4,Support Systems International Industries,3,FR,18,19,1,0.056
3563315f-ad7f-44f5-a800-130fd2ba292c,CETUS TECHNOLOGY LTD,3,GB,215,219,1,0.005
387ebb35-a3bc-484d-8d83-1d0de3599866,Hoffmann-La Roche Inc.,2,US,3948,2799,1,0.0
389cad4c-94b6-4177-8448-f2f022267922,"Micro Motion, Inc.",2,US,378,230,73,0.193
3c84a25d-3a70-4de0-a4a7-66ab50e70aad,Musculoskeletal Transplant Foundation,2,US,78,85,24,0.308
3d78b867-f237-4871-ba22-16c1cabbde47,Rayovac Corporation,2,US,186,169,1,0.005
449fc7ee-2ea8-4b1d-b66b-8668c3dfdedb,Intercare,2,US,1,1,1,1.0
44e10dff-b715-48bf-8e48-1d70486b90df,"STAC IP, LLC",2,US,13,11,2,0.154
45907423-155d-4c01-9491-30ee42ad05ab,"Wavefront Sciences, Inc.",2,US,17,13,6,0.353
4858713d-ec15-4b60-b8f8-3d9f6bfd446b,"MEDTEK DEVICES, INC.",2,US,9,9,7,0.778
50420938-f8b0-473e-a3cf-7cbeadf7f547,ELECTRONIC SYSTEMS S.p.A.,3,IT,2650,1936,1,0.0
55605d3d-ef12-44d6-b299-613850365507,ANR Pipeline Co.,2,US,3,7,1,0.333
5718551a-fe57-489d-a94a-9286974683c0,TOSHIBA TEC KABUSHIKI KAISHA,3,JP,52651,21517,3,0.0
59b51b1b-8ca4-4710-be53-08f38a752e10,"STONEAGE, INC.",2,US,62,14,28,0.452
5bbbc58c-5249-4db5-8188-76480883c35f,Emerson Electric Co.,2,US,2229,1397,61,0.027
5f92fea4-4087-4e3e-a560-2ba781d1fdb4,"Artann Corporation, a NJ Corp.",2,US,1,1,1,1.0
60d95f5b-895d-4000-945c-10da0a3f5e88,Stryker Corporation,2,US,1214,997,228,0.188
61a2fb80-84d9-4334-b7ed-8fe70aff5308,"MAX CO., LTD.",3,JP,540,296,18,0.033
639d525f-760d-497d-b42b-a41fa15d500e,"SRS Medical Systems, LLC",2,US,64,52,18,0.281
6426c4e3-3765-443d-bb91-0ac90763439a,"Cree, Inc.",2,US,2336,624,27,0.012
64ae2242-a7d4-45b4-9e63-f52bbe65bf20,"Cardiothoracic Systems, Inc.",2,US,99,63,19,0.192
65eb06d6-b43a-4d2a-9e0f-1a31cd86f200,Merck KGaA,3,DE,4854,3086,8,0.002
677cc0d7-5a6d-49ac-aa71-db1dc8702e40,ELLIOTT EBARA TURBOMACHINERY CORPORATION,3,JP,57,56,8,0.14
6fabad8e-45b2-4420-90d6-a2a6c3d743ad,"Active Power, Inc.",2,US,44,35,12,0.273
7017b233-ef9b-4e05-b5a2-97eab4b64945,"Hi-Tex, Inc.",2,US,10,11,4,0.4
7080f4a9-cbdf-4f63-b318-502c3b0189ae,"Pass & Seymour, Inc.",2,US,340,113,97,0.285
71c8e80b-923b-4d0f-bb7d-ed078ac34ebc,Zygo Corporation,2,US,371,102,65,0.175
75f5c390-85f7-45b2-8b26-d9e1ef3a0fda,The Heil Co.,2,US,113,69,24,0.212
787f0750-d661-479b-954d-9ca975cac75f,RITA CORPORATION,2,US,43,26,10,0.233
7a57443a-8568-48a3-9996-ee8910e0f710,MITSUBISHI JIDOSHA ENGINEERING KABUSHIKI KAISHA,3,JP,23049,13490,14,0.001
8323a959-1394-4627-a18a-7344f2a14ea1,Zomed,2,US,1,3,1,1.0
84a09c45-832e-4fb0-9fd7-b16df50d93ab,"ColorAge, Inc.",2,US,1,2,1,1.0
85082a90-f6cc-41e9-88dd-0c376939b6c3,The Automation Partnership (Cambridge) Limited,3,GB,264,256,3,0.011
8611ab85-6640-4ee9-add3-1d6f83814b1c,Informatica LLC,2,US,65,121,39,0.6
8c234b2e-53e7-4132-aaf2-8978edbf5cf8,ObjectSwitch Corporation,2,US,1,1,1,1.0
8f27a060-8120-4f8a-ba48-091bad928c71,AVL Medical Instruments,3,CH,73,73,6,0.082
949d58b0-8068-4dca-b53e-5eb55abb9237,"Ronald A. Katz, Technology Lic. L.P.",2,US,1,1,1,1.0
94d2041a-85f5-45d4-976d-bd4b58bef133,Artann Laboratories Inc.,2,US,38,17,24,0.632
95ed9a89-0107-4dc9-98e4-11ef5f2cd815,"SSI Technologies, LLC",2,US,112,87,1,0.009
9bea93ae-1384-4db2-b5d7-70bf82531ca2,"IMRA America, Inc.",2,US,284,103,8,0.028
9c269257-8cb9-4948-9439-ff843369378d,"ChriMar Systems, Inc.",2,US,9,4,8,0.889
a06b50d9-19b7-4a94-9d30-2e447c43fe60,EPICENTRE TECHNOLOGIES CORPORATION,2,US,29,15,10,0.345
a1e73e0c-650c-442d-9175-a5350cc85431,Corvita Corporation,2,US,50,12,1,0.02
a382323d-2d7c-4955-96a8-27f256771c4b,Radiotherapeutics Corporation,2,US,16,8,2,0.125
a47f971d-099d-40d6-89cd-440819106651,"Ambion, Inc.",2,US,26,23,3,0.115
ab72bf48-fbe4-429f-94bf-94a91b34e4da,"Avid Technology, Inc.",2,US,368,370,84,0.228
ae8a58c6-dd03-4a7c-9ada-b5330920b9da,"Bestline Liner System, Inc.",2,US,12,5,1,0.083
af03efab-1ecf-4856-8720-46c553220bb5,Notetry Limited,3,GB,46,23,4,0.087
b1b52722-060f-4ed4-a0e3-38888210bbd8,Chiron Diagnostics Corporation,2,US,68,121,2,0.029
b29fa82b-ddf9-408f-94ee-7d7e6dc8b36c,BOSTON SCIENTIFIC LIMITED,3,BM,528,424,20,0.038
b38ccbf5-640a-4b34-a154-b523c7ce43c2,,4,US,67,39,18,0.269
b3e0ed74-caea-498b-8bd1-e3136ee815da,ROCHE MOLECULAR SYSTEMS INC.,2,US,478,533,4,0.008
b48bb25c-5181-40d4-99ad-0ab75c1a2d08,DepoTech Corporation,2,US,11,7,2,0.182
b6b9264d-9272-4e79-b53e-0a362c8eb403,,4,US,1,2,1,1.0
bbd68ff4-84c0-4fa4-8946-dec862400106,CELGENE CORPORATION,2,US,430,310,41,0.095
bd326ff2-4f62-4f3e-9ad5-ff720460ce84,Allen Telecom LLC,2,US,50,46,2,0.04
bffe9c62-472a-49fa-a35f-84ef4d05748c,"Devon Works, LLC",2,US,47,25,1,0.021
c1fa5e74-9e98-4c1a-afe8-2e51b987a17b,"Rockwell Semiconductor Systems, Inc.",2,US,35,48,1,0.029
cb62ffe7-f1bf-4387-84e5-ed8f1513175f,Nellcor Puritan Bennettt Incorprated,2,US,1,1,1,1.0
cd29be72-3b71-4d25-919c-1a690d8e7279,AB Carl Munters,3,SE,38,25,4,0.105
d05625ad-8ef3-4983-8ec6-3efb7d2ee18d,"Intravascular Medical, Inc.",2,US,17,18,8,0.471
da4fcac9-640b-4e5c-9d78-039c40e9d7d3,,4,US,1,3,1,1.0
db7c95ee-f0ed-44ff-8952-75ec56ba8c45,Invacare Corporation,2,US,309,190,36,0.117
dcade0c6-e3d3-4bf0-8c33-02f32df36443,THIRD MILLENNIUM ENGINEERING,2,US,27,9,1,0.037
dec35864-04c8-4336-8b30-02242c01f5dc,"Elead Systems, Inc.",3,TWX,1,1,1,1.0
e13301ac-9597-4680-a349-5db024019e93,"Multisorb Technologies, Inc.",2,US,99,45,17,0.172
e2458246-ed42-4f1f-866e-c2353d4e8baa,,4,US,1,2,1,1.0
e2d803b4-24e5-4e48-8316-548ba84eb129,"Fermalogic, Inc.",2,US,6,11,4,0.667
e5a559bb-9242-4d92-9ee9-615934a17252,AKZO NOBLE N.V.,3,NL,2,6,1,0.5
e638e049-8c6b-40f7-9b52-9320c2a0148d,"Cardiometrics, Inc.",2,US,32,19,5,0.156
ec1b2bee-5130-44a6-b990-e6f8bc9963dc,"Ronald A. Katz Technology Licensing, L.P.",2,US,22,1,6,0.273
ee0168d9-bf74-4513-bfbf-e73c933f90e7,International Business Machines Corporation,2,US,142160,63301,54,0.0
f3431e08-fefd-4c76-94e9-94f056b1f124,"Marubeni Tubulars, Inc.",2,US,6,4,3,0.5
f58f12b8-fc39-4329-b45c-1724670cca81,"PowerDsine, Ltd.",3,IL,20,16,4,0.2
f65dac4c-24c9-401d-82fe-ef358e223ed8,Dolby Laboratories Licensing Corporation,2,US,1776,628,203,0.114
fad46b7f-1241-404e-bc13-4a1013d552d8,LITRON LABORATORIES LTD.,2,US,23,8,14,0.609
fce95099-df07-4c4b-a9af-d16ccfb62d4e,Cenetron Diagnostics LLC,2,US,8,6,3,0.375
fdbbddf1-3c2c-4920-bd84-4c4846d98c7b,Finnegan MAT GmbH,3,DE,2,5,2,1.0
ffeb6305-fbc7-40d9-9cc4-6e8f010fd6a0,TRANSLOGIC CORPORATION,2,US,43,34,14,0.326
00141147-703c-4b54-9eee-f2c8bb9f2f93,SEIKO EPSON CORPORATION,3,JP,28129,6922,28,0.001
049935c8-6787-4e02-b93d-57850f02cb03,"OMNICELL, INC.",2,US,71,68,25,0.352
05eb422e-37fa-4558-a668-4708de75b01e,"LINCOLN GLOBAL, INC.",2,US,955,414,191,0.2
06224c3c-a22d-4271-a044-67922a6c13bd,Symantec Corporation,2,US,3069,1845,238,0.078
068dde4d-3500-41b2-a72d-12b32505ad75,The Board of Regents of the University of Texas System,2,US,1855,2976,9,0.005
06ec3d1d-abba-4a62-95b1-b5b267693d33,"Target Therapeutics, Inc.",2,US,208,99,5,0.024
0885d0b6-a6d5-4a43-9d53-8434ada6871d,"Lutron Electronics Co., Ltd.",2,US,1234,436,2,0.002
09a3964f-4178-4e8b-9c1c-6d5bbb8e2741,Cardiac Pathways Corporation,2,US,63,33,1,0.016
0b0d4ca8-cdcb-4a00-9456-f091356ccf8c,"Sanconix, Inc",2,US,14,9,1,0.071
0ddf0e44-dd09-4ad1-b026-d2c08894514d,"Audiovox Specialized Applications, LLC",2,US,7,6,1,0.143
0e2df036-eeb6-4c50-8441-664af3bb97be,,4,US,16,4,3,0.188
135bfe44-4aad-43a8-aac3-b86e38294fea,"JOHN ZINK COMPANY, LLC",2,US,189,134,27,0.143
15268e82-eb0a-4f5d-a7d2-2e430c2290e1,"ACT, INC.",2,US,53,64,1,0.019
15ee3075-2013-4913-ab58-ee9fd3f9e466,Applied Power Inc.,2,US,201,170,1,0.005
19a00c25-4b43-4d31-a71a-240e4ee6a0e8,Suunto Oy,3,FI,117,83,1,0.009
1a8d29cb-5955-457d-ba7d-821e6a4d46f4,Telefonaktiebolaget LM Ericsson (publ),3,SE,18346,8658,3,0.0
1acf204b-82cb-45d3-bdda-b1592a1843b8,Tenneco Packaging Inc.,2,US,123,126,6,0.049
1e440f05-e479-4723-90d6-29f0fc855358,"Cirque Corporation, Inc.",2,US,78,43,34,0.436
1ea2bddd-8581-4962-a772-101f40bd7204,RADIO SYSTEMS CORPORATION,2,US,218,164,27,0.124
1f245d33-1596-4952-911d-166300c8d019,"Seminis Vegetable Seeds, Inc.",2,US,697,192,202,0.29
213e9e3f-1a3e-4632-8ac7-7d788b34fea3,EndoSonics Corporation,2,US,29,44,13,0.448
22a15e22-1b73-4071-af41-4d46773976cd,"Gaymar Industries, Inc.",2,US,56,29,7,0.125
241c0396-383f-4ba9-b868-002ca1f2ea5c,"WELCH ALLYN, INC.",2,US,740,487,159,0.215
246f703f-5827-45e4-ba4d-3f0894e2d019,"PCS Wireless, LLC",2,US,9,2,2,0.222
24ba8220-9b5a-4821-b335-73aa3fa31295,WISCONSIN ALUMNI RESEARCH FOUNDATION,2,US,3398,3528,8,0.002
28ad9536-8d05-480c-ad24-cb880365ffe1,"IV Technologies CO., Ltd.",3,TW,543,417,2,0.004
30ebe99c-d28b-4f1e-9f6e-f2c66c078d30,E. Heller & Company,2,US,19,15,2,0.105
33587dd9-1006-437a-8fbd-6df90ed78380,"ATEN International Co., Ltd.",3,TW,172,119,63,0.366
34e35a93-d968-4f5f-bbb8-a6d48c7cf8ac,NOK CORPORATION,3,JP,607,617,2,0.003
367e5999-e94f-4fc6-9126-720882ec1def,V-Armed Inc.,2,US,2,2,2,1.0
3716fabd-5440-421b-a77d-6fb729c50d30,Nitinol Development Corporation,2,US,34,13,1,0.029
376fb0e9-d07a-4a28-9765-f68273598de6,"BMC Software, Inc.",2,US,378,360,4,0.011
392b21dc-fff0-42b8-ad18-7e75b0e91e01,"Meadox Medicals, Inc.",2,US,98,57,1,0.01
3bcc8cb4-4737-4aca-8227-1ebdb32ff91e,"WMS GAMING, INC.",2,US,979,405,54,0.055
3c1f4e0d-4cd9-4bc7-b031-de45d65989a8,"HORIBA, LTD.",3,JP,619,545,87,0.141
3e07e36d-72fa-41e6-88ce-a507a4a83c36,The Procter & Gamble Company,2,US,14825,9503,107,0.007
3e792318-678a-467d-bde7-438a4736a722,NESTLE S.A.,3,CH,32,37,1,0.031
428645e8-70ab-44a7-a164-8c1216b8b72e,"TOUCHSYSTEMS, S.L.",3,US,32,50,12,0.375
44b1d37e-e317-4827-9df7-4fec8fc78d86,Roche Diagnostic GmbH,3,DE,25,52,1,0.04
52369ae7-c27c-4fc0-8558-e1b5c52f4947,"COMMSCOPE, INC. OF NORTH CAROLINA",2,US,405,249,52,0.128
537326ce-33bd-44ff-a028-2e59cab1defe,"Cardiac Assist Devices, Inc",2,US,2,2,1,0.5
58cc8953-e136-47f1-a157-663b423b1069,Eagle Ultrasound AS,3,NO,60,66,1,0.017
5ba65fca-687e-42ab-bb46-f15641a80eea,"GOVERNMENT OF THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF COMMERCE",6,US,546,857,1,0.002
66c27aac-3035-43d9-becd-6ae5542d0fd3,"Cohesion Products, LLC",2,US,37,45,3,0.081
6f773140-7235-420a-8921-26144077d546,"Fisher Scientific Company, L.L.C.",2,US,108,126,1,0.009
70fd4140-ca45-4cee-b7bb-445759049f49,"ANDCARE, INC.",2,US,7,20,1,0.143
75c76743-d2f6-4196-84bd-e51160ac6deb,Dionex Corporation,2,US,218,160,3,0.014
7635689b-831e-4ea8-9924-2b1614080f5b,"Merit Medical Systems, Inc.",2,US,336,290,71,0.211
